,datetime,article_text
0,2024-09-30 19:16:00,"В понедельник, 30 сентября, российский рынок демонстрировал минимальную волатильность. Внимание инвесторов было направлено на проект бюджета на 2025 г. Во-первых, была повышена оценка дефицита бюджета в 2024 году до 1,7% ВВП с 1,1% ранее из-за увеличения расходов. Во-вторых, тарифы на ЖКХ с середины 2025 г. будут повышены на 11,9%. В-третьих, нефтегазовые доходы в следующем году снизятся на 440 млрд руб. из-за изменений законодательства в части НДПИ на газ. Первые два пункта с учетом возросших прогнозов по оборонному бюджету являются проинфляционными факторами, которые ЦБ будет принимать во внимание во время обсуждения решения по ставке в октябре. Что касается снижения НДПИ, это позитивная новость для Газпрома, однако уже учтенная в котировках. 
По итогам торгов индекс МосБиржи снизился на 0,03% до 2 857,6 пункта, а индекс РТС – на 0,58%. Лидировали на рынке бумаги Русагро (+2,85%), обыкновенные акции МКБ (+2,71%) и Сбербанка (+1,41%). В наибольшем минусе закрылись акции Банка «Санкт-Петербург» (-3,19%), АФК Системы (-2,30%) и РусГидро (-2,25%). Что касается динамики рубля, пара USD/RUB, рассчитанная ЦБ на 1 октября, выросла на 0,68% до 93,22, а EUR/RUB – на 0,68% до 104,17.
Расписки Русагро росли на фоне сразу нескольких новостей. Bloomberg сообщил о том, что засухи, ливни и пожары от Азии до Америки усиливают опасения по поводу урожая, повышая цены на сельскохозяйственные культуры. Также сообщалось, что кипрский акционер Русагро подал апелляцию на решение суда о приостановке корпоративных прав в холдинге. На наш взгляд, попытка обжаловать решение никак не повлияет на ход переезда. 
Бумаги Globaltrans снижались после того, как компания сообщила, что собрание акционеров 30 сентября не состоялось из-за отсутствия кворума. Следующее собрание назначено на 7 октября.
Производство стали НЛМК в 1П 2024 г. сократилось на 15% г/г до 7,4 млн тонн, продажи металлопродукции уменьшились на 11% г/г до 8,0 млн тонн на фоне продажи сортовых активов.
Акционеры НоваБев одобрили дивиденды за 1П 2024 г. в размере 12,5 руб. на акцию с доходностью 1,8%, дата закрытия реестра под дивиденды – 11 октября.
Также одобрили дивиденды акционеры ММК в размере 2,494 руб. на акцию с доходностью 5,5%, дата закрытия реестра под дивиденды – 17 октября.
Напротив, акционеры Русала от выплаты дивидендов за 1П 2024 г. отказались.
Инвесторам, интересующимся российским рынком акций, мы рекомендуем обратить внимание на стратегию «RU. Капитал и дивиденды».
Бычьи настроения на рынке угасли, когда индекс Мосбиржи приблизился к отметке 2 900 пунктов. Бенчмарк перекупленным все еще не выглядит, поэтому, вероятно, что на ближайших сессиях рынок снова попытается пробить этот уровень. В качестве поддержки остается отметка 2 730 пунктов.
Смешанные настроения на мировых рынках
В понедельник, 30 сентября, рынки США и Европы немного снижаются, а акции Китая продолжили раллировать в преддверии почти недельных праздников. 
На неделе будут опубликованы индексы деловых настроений большинства крупных экономик мира. Также выйдут данные по американскому рынку труда: число открытых вакансий на рынке труда JOLTS (прогноз – 7,64 млн) во вторник, уровень безработицы (4,2%) и средняя почасовая заработная плата (+0,3% м/м) в пятницу. Сегодня глобальные инвесторы ждут выступление председателя ФРС Джерома Пауэлла. 
Отчетности опубликуют Nike, Paychex, Constellation Brands, и другие компании.
К 18:30 МСК индекс широкого рынка S&P 500 снижается на 0,03% до 5 736,6 пункта, технологический Nasdaq Composite – на 0,01% до 18 117 пунктов, а индекс голубых фишек Dow Jones Industrial Average – на 0,29% до 42 182 пунктов.
В составе индекса голубых фишек сильнее остальных растут акции Apple, входящие в состав стратегии «US. Сбалансированная», Home Depot, Walmart, Chevron и Verizon. Худшую динамику демонстрируют бумаги Boeing, Intel, Salesforce, Amazon и Dow.
Акции Boeing продолжают падать после сообщений о том, что переговоры компании с профсоюзом бастующих рабочих не увенчались успехом, а следующие пока не назначены.
Бумаги американских автопроизводителей снижаются после того, как Volkswagen, Stellantis, и Aston Martin ухудшили собственные финансовые прогнозы по продажам на 2024 г. Акции Ford теряют 2,18%, а General Motors – 3,61%, котировки Stellantis падают на 13,6%. 
Капитализация CVS Health растет на 2,93% после того, как Wall Street Journal сообщила, что холдинг встретится с Glenview Capital Management, чтобы предложить способы улучшения деятельности компании.
Акции Baxter International снижаются на 2,34% после того, как компания сообщила, что ее крупнейший завод North Cove в Северной Каролине в настоящее время закрыт из-за наводнения, вызванного ураганом Хелен.
* Сообщение носит информационный характер, не является индивидуальной инвестиционной рекомендацией или предложением приобрести упомянутые ценные бумаги. Приобретение иностранных ценных бумаг связано с дополнительными рисками."
1,2024-09-30 15:21:00,"Кипрская Ros Agro PLC., холдинговая структура ПАО ""Группа РусАгро"", обжаловала решение Арбитражного суда Московской области по иску Минсельхоза России о приостановке корпоративных прав. Запись о подаче апелляционной жалобы появилась в Картотеке арбитражных дел 30 сентября.
В начале сентября Суд удовлетворил иск Минсельхоза (А41-68592/2024) о приостановке корпоративных прав иностранных акционеров группы ""РусАгро"". 
Как ранее сообщала Ros Agro, решение суда означает, что акции группы будут распределены между держателями ГДР и акционерами Ros Agro PLC пропорционально их косвенной доле владения ПАО ""Группа Русагро"" в рамках предписаний закона №470-ФЗ от 4 августа 2023 года ""Об особенностях регулирования корпоративных отношений в хозяйственных обществах, являющихся экономически значимыми организациями"".
В середине июля группа ""РусАгро"" была включена в перечень экономически значимых организаций (ЭЗО). Статус ЭЗО позволяет российским бенефициарам через суд получить акции в прямое владение, приостановив права иностранных холдингов. Именно для этих целей Минсельхоз и обратился в суд. "
2,2024-09-24 10:16:00,"В “Русагро” уточнили информацию о распределении акций. Согласно положениям решения совета директоров Банка России от 26 апреля 2024 года распределение среди держателей ГДР ROS AGRO PLC в российских депозитариях будет проведено в автоматическом режиме, то есть без необходимости подачи специальной заявки. 
Дата фиксации реестра держателей ГДР в российских депозитариях для распределения ценных бумаг будет назначена за 10-15 рабочих дней до истечения четырех месяцев с даты решения суда, то есть с 5 сентября 2024 года. Напомним, что этого числа Арбитражный суд Московской области удовлетворил заявление министерства сельского хозяйства РФ о приостановке осуществления корпоративных прав ROS AGRO PLC в отношении ПАО “Группа «Русагро”. 
Вместе с тем решение суда означает, что акции группы будут распределены между держателями ГДР и акционерами ROS AGRO PLC пропорционально их косвенной доле владения ПАО “Группа “Русагро” в рамках предписаний закона РФ №470-ФЗ от 4 августа 2023 года “Об особенностях регулирования корпоративных отношений в хозяйственных обществах, являющихся экономически значимыми организациями”.
Торги ГДР ROS AGRO PLC продолжатся на Московской бирже до запуска процедуры вступления держателей ГДР в российских депозитариях во владение акциями ПАО “Группа “Русагро” в рамках предписаний, сформулированных в решении СД Банка России от 26 апреля 2024 года."
3,2024-09-10 09:20:00,"Рынок накануне. Покупатели возвращаются на рынок. Индекс МосБиржи в понедельник повысился на 3,04% до 2703,17 п., индекс РТС – на 2,4% до 942,14 п. На рынке ОФЗ тоже позитивная динамика, индекс RGBI прибавил 0,19%, показав рост по итогам четвертой торговой сессии подряд. Оптимистичным настроениям способствовала переоценка участниками рынка ожиданий по уровню ключевой ставки  перед заседанием Банка России, которое пройдет в пятницу на этой неделе.
Котировки Brent колеблются около $71,5 за баррель. Поддержку ценам на нефть оказывают опасения перед потенциальным ураганом в районе американского побережья Мексиканского залива. В этой области сосредоточено 60% нефтеперерабатывающих мощностей США. С другой стороны, крупные инвестиционные банки, такие как Morgan Stanley, пересмотрели в сторону понижения прогнозы по нефть, до $75 за баррель на IV квартал 2024 года с $80 за баррель ранее по ценам на Brent. Сегодня будет опубликован ежемесячный отчет ОПЕК, а также краткосрочный прогноз по энергетическим ресурсам от Управления энергетической информации США (Energy Information Administration, EIA), которые могут определить дальнейшее направление нефтяных котировок.
Новости, ожидания и торговые идеи.  Акционеры компании Русагро (AGRO 1195,6 руб. +2,07%) не поддержали идею редомициляции бизнеса в Россию. Тем не менее статус экономически значимой организации (ЭЗО) предоставляет возможность российским бенефициарам при помощи суда получить прямое владение акциями и долями компаний, исключив из цепочки иностранные холдинговые структуры, либо передать свои права на них третьим лицам. Поэтому переезд в Россию в конечном счете состоится.
«АЛРОСА» (ALRS 50,52 руб. +0,74%) прогнозирует восстановление спроса на рынке алмазов в 2024 году после спада, на фоне которого индекс IDEX, отражающий стоимость бриллиантов, снизился на 11,2% за первые месяцы текущего года. Спад был связан с сокращением спроса, а также с растущей популярностью синтетических алмазов, которые начинают занимать свою нишу на рынке. Главный конкурент «АЛРОСА», компания De Beers, в I квартале 2024 года сократила добычу алмазов на 19% до 13,3 млн карат, а общая выручка снизилась на 21,5% по сравнению с тем же периодом прошлого года.
Softline (SOFL 148,3 руб. -5,01%) объявляет о продаже более 9% своих акций крупному институциональному инвестору. По данным РБК, покупателем акций стала структура Газпромбанка, а сумма сделки могла составить примерно 4,5 млрд руб."
4,2024-09-09 19:21:00,"В понедельник, 9 сентября, российский рынок продолжил отскакивать. С недавнего минимума индекс МосБиржи прибавил уже более 7%. Продолжится ли отскок (или разворот тренда) или рынок вернется к коррекции, во многом зависит от пятничного решения ЦБ по ставке. В настоящее время нет единого прогноза по ее динамике: высказываются мнения о повышении «ключа» до 19% или сохранении его на уровне 18%. Ясности в решение ЦБ внесут данные по инфляции, которые будут опубликованы в среду. Ожидается, что августовский ИПЦ вырос на 9,0% г/г и на 0,2% м/м.
По итогам торгов индекс МосБиржи вырос на 3,04% до 2 703,17 пункта, а индекс РТС – на 2,40%. Лидировали на рынке обыкновенные акции ФСК «Россети» (+5,31%), АФК Системы (+4,81%) и «префы» Транснефти (+4,73%). В наибольшем минусе закрылись обыкновенные (-2,62%) и привилегированные (-1,53%) акции Мечела, а также бумаги Сегежи (-2,27%) Что касается динамики рубля, пара USD/RUB, рассчитанная ЦБ на 10 сентября, выросла на 0,63% до 90,38, а EUR/RUB – на 0,19% до 99,91.
Расписки Русагро сегодня подешевели на 0,87% после сообщения о том, что акционеры компании не одобрили ее редомициляцию в РФ. Мы считаем, что это решение никак не повлияет на ход процесса.
Акции Сегежи опустились после того, как агентство Эксперт РА понизило рейтинг кредитоспособности компании до уровня ruВВ+ (ранее ruВВВ), прогноз по рейтингу развивающийся. Снижение рейтинга связано с ухудшением метрик долговой и процентной нагрузок.
Коммерсантъ сообщил, что в ответ на растущий экспорт китайского стального проката и потенциальные риски демпинга российские металлургические компании обратились к Евразийской экономической комиссии (ЕЭК) с просьбой возобновить антидемпинговое расследование. Текущие пошлины действуют до января 2025 г. На этом фоне акции НЛМК и Северстали прибавили 4,02% и 4,08% соответственно.
Котировки НОВАТЭКа выросли на 2,76% после сообщения Bloomberg о том, что Арктик СПГ-2, находящийся под санкциями США, впервые отправил груз в Азию.
Росалкогольтабакконтроль сообщил, что за 8 месяцев производство тихих вин в РФ увеличилось на 9,5% г/г до 21,3 млн дал., производство шампанского выросло почти на 32%, а водки – на 2,7%. На этом фоне акции Абрау-Дюрсо повысились на 1,71%, а НоваБев – снизились на 2,31%.
Инвесторам, интересующимся российским рынком акций, мы рекомендуем обратить внимание на стратегию «RU. Капитал и дивиденды».
С технической точки зрения, индекс Мосбиржи приблизился к уровню сопротивления около 2 730 пунктов. С учетом сильной динамики на последних сессиях и умеренного показателя RSI небольшой потенциал роста сохраняется.
Отскок на американском рынке
В понедельник, 9 сентября, рынок США открылся в «зеленой зоне» после серьезного пятничного падения.
На движение рынка на неделе будут влиять данные по индексу потребительских цен за август, которые опубликуют в среду. Ожидается, что инфляция составила 2,6% г/г и 0,2% м/м. Свои финансовые отчеты на неделе опубликуют Oracle, Adobe и другие компании.
К 18:30 МСК индекс широкого рынка S&P 500 растет на 0,88% до 5 456,2 пункта, технологический Nasdaq Composite – на 0,32% до 16 751 пункта, а индекс голубых фишек Dow Jones Industrial Average – на 1,20% до 40 824 пунктов.
В составе индекса голубых фишек сильнее остальных растут акции Boeing, Verizon, American Express, Travelers и Visa. Худшую динамику демонстрируют акции Merck, бумаги Apple, входящие в состав стратегии «US. Сбалансированная», UnitedHealth, Nike и Disney.
Акции Boeing растут после того, как в воскресенье производитель самолетов заявил, что достиг предварительной договоренности с Международной ассоциацией машинистов и авиакосмических рабочих, представляющей интересы более 33 000 сотрудников. Соглашение нацелено на повышение заработных плат.
Акции Merck снижаются из-за успешного испытания конкурентного препарата Ivonescimab компании Summit Therapeutics (+61,7%), который показал лучшую эффективность в лечении рака лёгких по сравнению с их препаратом Keytruda.
В пятницу S&P Dow Jones Indices объявила о том, что акции Dell Technologies (+4,71%), Palantir Technologies (+12,4%) и Erie Indemnity (+1,37%) будут включены в состав фондового индекса S&P 500 с 23 сентября.
* Сообщение носит информационный характер, не является индивидуальной инвестиционной рекомендацией или предложением приобрести упомянутые ценные бумаги. Приобретение иностранных ценных бумаг связано с дополнительными рисками."
5,2024-09-09 17:45:00,"Сегодня на растущем российском фондовом рынке одними из лидеров падения в цене оказались депозитарные расписки группы «Русагро», подешевевшие на 2,34% до 1144 руб. за бумагу.
На наш взгляд, главной причиной падения бумаг «Русагро», которые ещё с открытия торгов на Московской бирже возглавили список аутсайдеров, стало неожиданное для рынка решение внеочередного общего собрания акционеров компании об отказе одобрить редомициляцию её головного общества с Кипра в Калининградскую область РФ. 
Несмотря на то, что дата внеочередного общего собрания по вопросу о редомициляции в Россию уже была перенесена на 9 сентября из-за того, что летом ВОСА не состоялось по причине отсутствия кворума, для рынка решение состоявшегося собрания стало сюрпризом, поскольку ещё в июле представители компании сообщали о подаче компанией документов на смену юрисдикции с кипрской на российскую. 
Теоретически вероятность одобрения акционерами редомициляции была очень высока, поскольку этот процесс начала сама компания, наверняка предварительно согласовав такое решение с кем-то из контролирующих акционеров. Представители «Русагро» ранее заявляли, что после редомициляции в Россию компания сможет впервые с 2021 года выплатить дивиденды, так что у акционеров были достаточно серьёзные мотивы для того, чтобы одобрить смену юрисдикции на российскую. Однако что-то пошло не так, и в итоге уже начавшаяся процедура добровольной редомициляции будет остановлена.
Вполне возможно, что акционеры компании, опасаясь возможных ограничений, отказались одобрять добровольную редомициляцию, предоставив российским властным структурам вернуть компанию в Россию принудительно. То есть возвращение «Русагро» в Россию наверняка состоится, но эта процедура может занять больше времени, чем в случае добровольной редомициляции."
6,2024-09-09 16:44:00,"С возвращением на Родину! Россия продолжает предпринимать новые шаги для принуждения крупного бизнеса к редомициляции. Данную процедуру скоро может завершить X5, на очереди - “Русагро” и, возможно, другие компании, зарегистрированные за рубежом. Права собственности их акционеров будут приостановлены. Схема проста: не хотите добровольно, тогда после признания организации экономически значимой в дело вступает уполномоченное ведомство, а потом - сразу суд. Есть ли у эмитентов “лазейка” противостоять такому “переезду” и кто следующий, выяснял Finam.ru.
Понедельник по традиции оказался тяжелым днем. И хотя сам рынок растет, прибавляя более 2% по индексу МосБиржи, расписки “Русагро” снижаются почти на столько же. Инвесторов расстроило решение акционеров компании не одобрять редомициляцию с Кипра на остров Русский. Фактически это означает, что участники торгов не увидят дивиденды. Или все же надежда на такие выплаты остается?
Как говорят аналитики, для “Русагро” уготована принудительная редомициляция. Ее механизм фактически запустил иск Минсельхоза РФ: на прошлой неделе арбитражный суд Московской области удовлетворил его заявление к Ros Agro Plc относительно приостановки ее корпоративных прав в отношении российской дочерней структуры.
“У “Русагро” принудительный переезд по суду. Совет директоров может одобрять или не одобрять. Результат один - переезд. И даже акционеры не решают”, - подчеркивает Артем Тузов, директор департамента корпоративных финансов АО “ИВА Партнерс”.
“Русагро” подала документы для редомициляции весной, а уже летом была включена в перечень экономически значимых организаций, что позволило через суд исключать из владения иностранных участников из “недружественных” стран.
“Решение ГОСА носит формальный характер, отказ в редомициляции не меняет картину. Иск Минсельхоза РФ о приостановке корпоративных права кипрского холдинга ранее был удовлетворен. “Русагро” - на текущий момент последняя компания из публичных, которые ожидают принудительной редомициляции”, - уточнил Дмитрий Пучкарев, эксперт по фондовому рынку “БКС Мир инвестиций”.
Та же участь, напомним, ранее постигла и X5. По сути, для России это первый прецедент принудительной редомициляции. Весной Минпромторг РФ подал в суд заявление в отношении X5 Retail Group о приостановке корпоративных прав нидерландской материнской компании в отношении российской “дочки” - ООО “Корпоративный центр Икс 5”. Позже уже и Минфин РФ обратился в суд с заявлением о приостановлении осуществления люксембургским ABH Holdings (ABHH) корпоративных прав в отношении российских компаний “АБ Холдинг” (основное хозяйственное общество “Альфа-банка”) и “ЮНС-Холдинг” (основное хозяйственное общество “АльфаСтрахования”).
Соответствующий иск к X5 Retail Group был удовлетворен. А Мосбиржа 22 июля включила акции ПАО “Корпоративный центр ИКС 5” в первый уровень списка ценных бумаг, допущенных к торгам. Но пока точная дата возобновления торгов акциями неизвестна. Также недавно стало известно, что X5 Retail Group N.V. планирует провести делистинг своих GDR с Лондонской фондовой биржи.
X5 и “Русагро” стали не единственными компаниями, которых озаботил вопрос перерегистрации. В целом для компаний, зарегистрированных в “недружественных” юрисдикциях, введение западных санкций в отношении России создало проблему обращения их акций. Они по факту оказались заблокированными в чужих депозитариях и торговались на изолированном внебиржевом счете Euroclear со значительными дисконтами к своим котировкам на Мосбирже. Также возникли сложности с движением денег внутри компаний и, как следствие, с выплатами дивидендов. Редомициляция, принудительная или нет, призвана все это устранить. Сам бизнес тоже не должен остаться “обиженными”, так как его структура должна сохраняться, а акционерам обещана конвертация их заблокированных бумаг в акции нового юридического лица.
Добровольно по этому пути уже пошли такие компании, как “Мать и дитя”, HeadHunter, TCS Group, VK, ЕМС, Global Ports и в какой-то степени “Яндекс”, Qiwi и SoftLine. Первая компания полностью завершила эту процедуру 28 мая. Теперь она зарегистрирована в специальном административном районе на острове Октябрьский Калининградской области в качестве Международной компании Публичного акционерного общества “МД Медикал Груп Инвестментс” (сокращенно - МКПАО “МД Медикал Груп”). А 17 июня ГДР MD Medical на Мосбирже были конвертированы в акции МКПАО “МД Медикал Груп”.
Завершили редомициляцию в РФ также TCS Group, VK, ЕМС. А вот HeadHunter находится на финальной стации “переезда”. Сейчас компания проходит последний этап редомициляции. С 25 сентября МосБиржа включит акции МКПАО “Хэдхантер” в список допущенных к торгам.
Что касается “Яндекса”, то он пошел по пути разделения бизнеса на российский и иностранный - МКПАО “Яндекс” и Yandex N.V., который был впоследствии переименован в Nebius Group N.V. Реструктуризация завершилась в конце июля этого года. Такой же схемы придерживались SoftLine (ПАО “Софтлайн” в России и Noventiq за рубежом) и Qiwi plc (российский бизнес - АО “КИВИ”).
Еще в очереди на “переезд” “стоят” “Эталон”, O’KEY Group, Ozon и Cian Plc (ЦИАН). “Эталон” ожидает “переезда” с Кипра в Россию в конце третьего - начале четвертого квартала текущего года. Почти такие же сроки по “переезду” с Кипра называет Cian - октябрь 2024-го. А вот Ozon Минпромторг РФ обязывает провести редомициляцию с Кипра до конца 2025-го.
“Среди компаний потребительского сектора не запустил редомициляцию только Ozon. В связи с тем, что большинство эмитентов уже переехали, а Ozon до сих пор остается в кипрской юрисдикции, не исключаем, что компания испытывает трудности с этим процессом. Поэтому сценарий принудительной редомициляции мы рассматриваем в качестве риска для расписок”, - прокомментировал Игнат Иванов, аналитик ФГ “Финам”.
Также напомним, что Fix Price, Polymetal и Globaltrans приняли решение о переезде в “дружественные” юрисдикции (Казахстан и ОАЭ).
Не хотите выбирать между российским и иностранным рынком? Тогда подключите единый счет и торгуйте на биржах США, России и Гонконга. Ваш “переезд” в безграничный мир инвестиций займет не более 3 минут."
7,2024-09-09 14:55:00,"Российский фондовый рынок начал неделю бодрым ростом. К 14.30 мск индекс МосБиржи поднялся на 2,26% и составляет 2682,59 пункта. Инвесторы уже готовы к любому решению ЦБ или уверовали в неизменность ставки?
У аналитиков пока нет единого мнения по поводу решения ЦБ 13 сентября, но начали преобладать прогнозы сохранения ставки. Поводом для этого стали данные о недельной дефляции в России. «С точки зрения экономических аргументов тот факт, что в самом конце августе Росстат зафиксировал недельную дефляцию, на наш взгляд, является важным аргументом в пользу сценария паузы 13 сентября», - отмечают аналитики «Альфа-Банка».
Как отмечает Дмитрий Скрябин, эксперт «Альфа-Капитал», у ЦБ будут аргументы и в пользу паузы (прошло мало времени с предыдущего повышения, да и нельзя сказать, чтобы ситуация в августе как-то дополнительно ухудшилась по сравнению с июлем). «Если эта гипотеза подтвердится и ЦБ действительно сохранит ставку без изменений, это поддержит настроения инвесторов и рост рынка. Но полноценный разворот мы все же ждем позднее, когда появится уверенность, что инфляционный тренд сломлен», - считает эксперт.
Наиболее вероятно, ЦБ будет выбирать между неизменной ставкой и повышением до 19%, но я ожидаю сохранение ставки, и ключевая причина -сигналы самого ЦБ, рассказывает Евгений Коган, инвестбанкир, автор канала bitkogan. «ЦБ явно сместил акцент своих докладов на аргументы в пользу неизменной ставки. Думаю, это не совпадение. Вероятно, ЦБ хочет взять паузу и убедиться, что не передушил экономику 18%-й ставкой. Но интрига все же есть», - комментирует эксперт.
По мнению аналитиков ИФ «Солид», разумнее всего ЦБ было бы ещё раз повысить ключевую ставку сразу до 20%, чтобы нивелировать «последние ростки» избыточного кредитования, но при этом начать цикл снижения уже в марте 2025 года, или даже раньше. По словам экспертов, рынок акций уже учитывает подъем до 20%.
По словам, Степана Сумина, управляющего активами Cresco Finance, если исходить из логики (экономической), ставка 13 сентября должна остаться неизменной. «Инфляция наконец прекратила галопировать и даже на отдельном промежутке показала дефляцию. Это положительный сигнал для остановки подъема ставки, но как распорядится добрая воля ЦБ, останется загадкой до пятницы. Настроение инвестора будет очень нестабильным на этой неделе. Спекулянты продолжат попытку догнать индекс до 2700-2730, однако там ждёт технический момент локальной перекупленности рынка, что может откатить индекс МосБиржи к 2625», - комментирует свою точку зрения эксперт.

На горизонте нескольких месяцев восстановление российского рынка акций может продолжиться, тем более что исторически начало осени чаще бывает позитивным для российского рынка, считает Юлия Голдина, аналитик «БКС Мир инвестиций». «В фокусе на этой неделе у инвесторов будет заседание ЦБ РФ. Если риторика регулятора будет менее жесткой, чем ранее, а ставка останется без изменений, то мы полагаем, что покупательская активность на рынке вырастет», - отмечает эксперт.
Большинство бумаг сегодня растет. Акции «Северстали» (+3,3%) последний день торгуются с дивидендом. «Его размер за первое полугодие составит 31 руб., примерно на эту величину котировки опустятся завтра, после прохождения отсечки», - отмечает Владимир Чернов, аналитик Freedom Finance Global.
Депозитарные расписки «Русагро» падают на 2,6% после отказа акционеров от редомициляции в Россию. «Наша рекомендация не меняется. Мы рекомендуем покупать бумаги «Русагро» долгосрочно и ожидаем дальнейшего возобновления дивидендных выплат. Возможные причины отказа акционеров станут известны чуть позже. Может быть, было преобладание акционеров нерезидентов или были акционеры с двойным гражданством и права их ущемлялись. Сказать сейчас сложно», - рассказывает Олег Абелев, руководитель аналитического отдела ИК «Риком-Траст».
«Важно, что итоги собрания акционеров не отменяют принудительный переезд по решению суда. А отказ от добровольной смены юрисдикции не сенсационный, так как ранее сам агрохолдинг допускал такой сценарий. Каким бы ни был сам процесс переезда, в конечном счете он позволит снизить риски для компании и повысить привлекательность акций за счет возобновления выплаты дивидендов. Мы продолжаем положительно смотреть на бумаги “Русагро” и ждем завершения переезда в Россию», - отмечает Лаура Кузнецова, аналитик ПСБ.
Акции «Газпрома» растут на 1,1%, «ЛУКОЙЛ» прибавляет 2,3%, «Роснефть» - 1,6%, «Сбер» в плюсе на 2,1%.
Подберите себе актуальную инвестиционную стратегию с идеальным балансом между риском и ожидаемой доходностью. Уникальные инвестиционные идеи каждый месяц только для клиентов «Финама». Подпишитесь прямо сейчас, чтобы не пропустить выход новых идей. 
Фьючерс на доллар растет на 0,8% - до 90,015. На межбанке за один доллар дают 90,38 руб. (+0,12%), евро стоит 100,403 (+0,3%). Юань на Московской бирже снижается на 0,18% - до 12,6 руб.
Нефть подрастает. К 14.20 мск фьючерсы нефти марки Brent растут на 0,7% и торгуются у отметки $71,58, фьючерсы на нефть марки WTI сейчас находятся у отметки $68,27 (+0,9%).
Европейские индексы растут в пределах 1%. Фьючерс на S&P 500 растет на 0,73%."
