,datetime,article_text
0,2024-09-30 09:00:00,"В понедельник, 30 сентября, ""Газпром нефть"", ""НОВАТЭК"", ""АЛРОСА"", ""Селигдар"", ""НоваБев"", ""ЕвроТранс"" проведут внеочередные общие собрания акционеров. В повестке - вопрос распределения прибыли, в том числе на дивиденды.
Акционеры Globaltrans рассмотрят параметры оферты к держателям ГДР. Совет директоров предложил выкупить расписки, учитываемые в НРД и «СПБ Банке», по цене 520 рублей за штуку.
""Хэдхантер"" начнет buyback на сумму до 9,61 млрд рублей. Программа продлится до 29 сентября 2025 года.
Заканчивается прием оферт от акционеров Solidcore.
Акции ""ТНС энерго Ростов-на-Дону"", ""ТНС энерго Марий Эл"" последний день торгуются с дивидендом в режиме Т+1.
""Банк Санкт-Петербург"" закроет дивидендный реестр.
Правительство внесет в Госдуму проект бюджета на 2025–2027 годы. На 2025 год прогнозируется рост доходов до 40,296 трлн рублей. Это почти на 12% больше, чем в текущем году. Расходы повысятся до 41,469 трлн руб. Доля ненефтегазовых поступлений в общем объёме вырастет до 73%, заявлял премьер-министр России Михаил Мишустин."
1,2024-09-30 07:10:00,"Внеочередное общее собрание акционеров ""Газпром нефти"" по вопросу распределения прибыли, в том числе на дивиденды, пройдет 30 сентября в заочной форме.
Закрытие реестра акционеров для участия в ВОСА - 6 сентября."
2,2024-09-29 15:20:00,"На фоне ралли в акциях Газпрома, на слухах о возможной отмене дополнительного налога НДПИ уже с 2025 года, обращает на себя внимание коррекция в бумагах Газпром нефти, которая как раз напрямую и связана с позитивными новостями, приходящими в последнее время от материнской компании.
Уверен, вы и без меня прекрасно знаете, что Газпром нефть - это самая настоящая кэш-машина, генерирующая достаточный свободный денежный поток (FCF) для выплаты дивидендов своим акционерам, и это является важным фактором для материнской компании в лице Газпрома, которая после начала СВО столкнулась с серьёзной проблемой сокращения экспорта природного газа и ростом налогового бремени, а потому солидный дивидендный поток от нефтяной дочки сейчас приходится как нельзя кстати!
Если вы вдруг забыли, спешу напомнить, что доля Газпрома в акционерном капитале Газпром нефти составляет внушительные 95,68%, и это позволяет материнской компании снимать практически все дивидендные ""сливки"", оставляя при этом ""жирные остатки"" и миноритариям.
В условиях низкого уровня долговой нагрузки для Газпром нефти нет никаких проблем радовать акционеров дивидендами: показатель NetDebt/EBITDA по состоянию на 30.06.2024 составляет всего 0,45х, что считается весьма низким значением для нефтегазовой отрасли. А если вспомнить ещё и про высокие процентные ставки в экономике, то низкая долговая нагрузка становится значительным конкурентным преимуществом для компании!
Именно поэтому, с молчаливого согласия материнской компании, Газпром нефть в последние годы увеличила норму дивидендных выплат с 50% от ЧП по МСФО до текущих 75% от ЧП по МСФО (сначала по итогам 2023 года, а чуть позже - и за 6m2024). Правда, пока не закрепив эту повышенную норму выплат в своём див. уставе, где по-прежнему предусмотрен ""целевой размер дивидендных выплат не менее 50% от чистой прибыли по МСФО, с учётом корректировок"".
Чего же опасаются акционеры Газпром нефти?
Всё просто: они по всей видимости опасаются, что в связи с ожидаемыми налоговыми послаблениями в отношении Газпрома, необходимость максимально ""доить"" Газпромнефть в плане дивидендов может резко снизиться, и уже сейчас они начинают закладывать в котировки, что текущая норма выплат в размере 75% от ЧП по МСФО у Газпромнефти может и не устоять.
Хотя я не вижу ни одной причины, по которой это должно случиться. Ведь даже с учётом ожидаемых налоговых инициатив, глобальные проблемы для Газпрома фундаментально не решатся в обозримом будущем. И здесь самое время вновь вспомнить, что Газпром, скорее всего, навсегда потерял 75% своего экспорта в Европу, амбициозный проект Сила Сибири-2 откладывается на неопределённое время и никакой определённости и понимания здесь нет, дивидендной коровой компания в перспективе ближайших лет вряд ли станет (в том числе на фоне масштабных капексов, без которых не обойтись), а тут ещё и острую конкуренцию с СПГ нужно активно вести, за место под солнцем на мировом газовом рынке.
Поэтому моё отношение к инвестиционному кейсу Газпром нефти по-прежнему крайне позитивное и нисколько не поменялось за последнее время. Это по-прежнему эмитент №1 в моём портфеле по доле присутствия (3,45%), и я очень рад, что моя ставка на эту историю оказалась абсолютно оправданной!
Ждём полугодовой дивиденд в размере 51,96 руб. на акцию, что по текущим котировкам сулит промежуточную ДД=7,3%, и с если уже сейчас из стоимости акции Газпром нефти вычесть этот дивидендный гэп, то мы получим реальный текущий ценник в районе 650+ руб., что находится в непосредственной близости от 13-месячных минимумов. На покупки не намекаю, но по 550+ руб., где проходит мощная линия поддержки, лично я точно буду грести их как не в себя.
Источник"
3,2024-09-27 09:17:00,"«Газпром нефть» обсуждает возможность строительства сети автозаправочных станций под своим брендом в Узбекистане. Об этом заявил глава компании Александр Дюков в кулуарах Российской энергетической недели.
«Сейчас обсуждаем возможность реализации еще ряда проектов в Узбекистане, включая, в том числе, возможность строительства сети автозаправочных станций под своим брендом», - цитирует «РИА Новости» слова Дюкова. 
Он отметил, что его компания уже работает в Узбекистане и поставляет туда нефть и нефтепродукты. «Кроме того, применяя наши цифровые решения, мы помогли открыть в Узбекистане Центр управления бурением, который позволил значительно сократить сроки и стоимость строительства скважин на месторождениях в республике», - сказал Дюков журналистам. "
4,2024-09-26 09:00:00,"В четверг, 26 сентября, пройдет сразу несколько собраний акционеров компаний. Досрочно прекращать полномочия членов совета директоров и решать другие вопросы будут акционеры “М.видео”, “РУСАЛа”, “АПРИ”, “Белона”. А “Татнефть” проведет повторное ВОСА по дивидендам за 1 полугодие этого года.
Тема дивидендам сегодня актуальна и для акционеров “Ашинского метзавода"", ”“Ростелекома” и “Черкизово”. Акции “Черкизово” 26 сентября последний день торгуются с дивидендами. Дата закрытия реестра акционеров, имеющих право на получение дивидендов, - 29 сентября. Ранее акционеры “Черкизово” утвердили дивиденды за 1 полугодие 2024 года в размере 142,11 рубля. 
Что касается акций “Ростелекома”, то они последний день торгуются с дивидендами. Реестр на их получение закрывается 27 сентября, сообщала компания. Акционеры ранее в сентябре утвердили выплату дивидендов по результатам 2023 года. Выплаты составят 6,06 рубля на обыкновенную акцию и такую же сумму - на привилегированную акцию типа “А”.
Кроме того, в четверг, 26 сентября, акции “Ашинского метзавода” последний день торгуются с дивидендами. Акционерам будет выплачено 77 рублей на акцию, доходность составит 44,8%. В пятницу, 27 сентября, будет дивидендный гэп.
Также в четверг Московская биржа прекратит торги акциями Solidcore и запустит торги акциями МКПАО “Хэдхантер”.
26 сентября пройдет и заседание совета директоров “Газпром нефти”. Компания подведет итоги реализации стратегии цифровой трансформации-2023."
5,2024-09-26 02:22:00,"Совет директоров “Газпром нефти” 26 сентября подведет итоги реализации стратегии цифровой трансформации компании за 2023 год.
“Газпром нефть” - первая нефтяная компания России, которая начала системную цифровую трансформацию своего бизнеса.
“Мы переводим в “цифру” каждый этап работы современного нефтяника: от геологической разведки и бурения огромных многоствольных скважин до процесса переработки нефти и момента, когда она в виде топлива попадает в баки автомобиля, самолета или, например, становится битумом для строительства дорог. Это позволяет лучше понимать потребности каждого клиента и строить на этом работу всех звеньев бизнес-цепочки. Так мы улучшаем наши продукты и сервисы”, - говорят в компании."
6,2024-09-11 17:10:00,"С конца 2022 г. нефть стабильно держалась в коридоре $70-90 за баррель. Однако на фоне слабых данных спроса и роста предложения вне ОПЕК+ Brent вчера просела до $69 за баррель, пробив сложившийся диапазон. Цены могут как восстановиться до $80, так и перейти в новый диапазон близко к $60 за баррель. Если нефть останется на уровне $70 за баррель, EBITDA нефтяных компаний может упасть на 10% и более.
Brent пробила вниз отметку $70 за баррель, что может повлечь коррекцию
Далее — сильное падение до $60 или новый диапазон вокруг $70 за баррель
Нефть упала на $3 и пробила 20-месячный уровень сопротивления $70 за баррель — что дальше
Средний уровень цен на нефть за последние 50 лет с поправкой на инфляцию — $80 за баррель. Но нефть редко торгуется на этом уровне в течение длительного периода времени, как показал наш февральский анализ. 
В последние дни Brent решительно вышла из сложившегося диапазона, в котором торговалась в течение 20 месяцев с конца 2022 г. Цены пробили отметку $70 за баррель и вчера даже на некоторое время опускались ниже $69 за баррель. В среду котировки сумели отскочить и превысили $71 за баррель. 
Падение цены обусловлено рядом факторов, но все они явно присутствовали на рынке в течение всего года. В первую очередь нефтетрейдеров беспокоит спрос со стороны двух крупнейших потребителей нефти — США и Китая, которые с начала года публикуют все более негативные экономические данные. 
На этом фоне в понедельник ОПЕК понизила прогноз роста спроса на 2024 г. с 2.11 до 2.03 млн баррелей в сутки в основном из-за ухудшения оценки роста спроса со стороны Китая. Сообщается, что, по мнению крупнейших нефтетрейдеров, таких как Trafigura и Gunvor, на рынке наблюдается избыток предложения, а увеличение добычи в странах, не входящих в ОПЕК+, усугубляет проблемы, вызванные низким спросом.
Очередное сокращение добычи ОПЕК+ под вопросом — возможности поддерживать цены могут быть исчерпаны
Только на прошлой неделе ОПЕК+ приняла решение не увеличивать добычу на 180 тыс. баррелей в сутки в октябре, как планировалось ранее. Теперь вопрос заключается в том, будет ли картель рассматривать еще один раунд сокращения добычи на следующем ежемесячном заседании. Никаких сигналов по этому поводу мы не видим, но считаем, что дальнейшие сокращение добычи вряд ли особо интересно для многих членов организации. 
ОПЕК+ уже сдерживает мировую добычу примерно на 5.9 млн баррелей в сутки благодаря согласованным квотам (3.67 млн баррелей в сутки) и дополнительным добровольным сокращениям со стороны Саудовской Аравии, России и других стран (2 млн баррелей в сутки). Текущее сокращение добычи означает потерю почти 6% рынка, а дальнейшее сокращение приведет лишь к тому, что растущие производители получат еще большую долю рынка. К таким производителям относятся США, которые с конца 2022 г. увеличили добычу жидких углеводородов на 10%, или на 1.2 млн баррелей в сутки.
Перспективы цен на нефть — стабилизация у $70, коррекция до $60 или отскок к $80
Ответ на вопрос о дальнейшей траектории цен на нефть никто не знает наверняка. Сырьевые рынки обычно чувствительны даже к незначительному дисбалансу спроса и предложения и сильно реагируют, когда баланс между ними нарушается. Вместе с тем фактический спрос и предложение нефти очень медленно реагируют на изменения цен на нее, и падение цены на $10 за баррель в последние недели само по себе не устранит возникший избыток предложения. 
Мы считаем, что в ближайшие 4-6 недель нефть, скорее всего, либо продолжит корректироваться вниз до $60, либо вернется к $80 за баррель, особенно если ОПЕК+ подаст сигнал об очередном сокращении добычи. Стабилизация в районе $70 за баррель представляется менее вероятной. Однако инвесторам в акции сейчас лучше всего закладывать текущую цену на нефть для оценки акций компаний сектора (за исключением крайних случаев текущая рыночная цена на нефть обычно лучше всего подходит для этих целей).
Для российских нефтяников важна и динамика рубля 
Рубль пока относительно слабо реагирует на коррекцию цен на нефть и сегодня утром находился на отметке RUB 91.5/$. Если нефть стабилизируется в районе $70 за баррель, а рубль не будет двигаться дальше, EBITDA нефтяных компаний может заметно снизиться — на 10% в долларовом выражении (чувствительность EBITDA при условии, что нефть в течение всего года будет стоить $70, а не $80 за баррель). 
Примерно через 30 дней вступят в силу изменения в налогах на добычу по формуле. Отметим, что демпфер облегчит нагрузку только при продаже нефтепродуктов на внутреннем рынке в рублевом выражении, но не улучшит ситуацию при экспорте нефти или нефтепродуктов. 
Важный момент: цены на нефть оказывают влияние на весь российский рынок акций, который почти так же чувствителен к изменениям мировых цен на нефть, как и акции нефтегазовых компаний. Корреляция между нефтегазовым индексом МосБиржи и ценами на нефть в рублях составляла 72% в период с 2005 г. по июнь 2024 г., для общего индекса МосБиржи — 65%. Если смотреть на более поздний период — с июля 2015 г. по июнь 2024 г., корреляция снизилась до 43% и 32% соответственно (возможно, это только отражает нефтяные компании с учетом их веса в индексе).
Тревожные сигналы из США и Китая 
Негативные статданные из Китая и США намекают на то, что глобальная рецессия либо неминуема, либо уже началась. В США наблюдается несколько неприятных трендов. 
• Во-первых, резкое увеличение долга по потребительским кредитам в этом году подразумевает ограничение уровня потребительских расходов. 
• Во-вторых, по рынку труда постоянно выходят слабые данные. Каждый месяц статистика представляется как сильная, а потом незаметно пересматривается вниз в последующие месяцы. Так, в августе в США было создано 142 тыс. новых рабочих мест, но оценки июня и июля были уменьшены на 86 тыс. Обратите внимание, что с июня 2023 г. в США появилось 2 млн рабочих мест с частичной занятостью, но было потеряно 1.5 млн рабочих мест с полной занятостью.
• В-третьих, активность в обрабатывающей промышленности сокращается с конца 2022 г., согласно различным источникам (Федеральные резервные банки Филадельфии, Канзас-Сити, Далласа, Чикаго, Нью-Йорка, Ричмонда и другие). 
• Кроме того, правительство США ежемесячно наращивает новый долг на $300 млрд, который сейчас превышает $35 трлн — оба показателя не могут держаться на таких высоких уровнях в течение длительного времени без отрицательных эффектов на инфляцию и экономику. 
В Китае данные свидетельствуют о сохранении слабой промышленной активности и давлении на цены на жилье и строительство, а спрос на нефть со стороны Китая как крупнейшего мирового импортера за год снизился на 2%.
Какие акции сектора пострадают больше и меньше других
В нефтегазовом секторе только префы Сургутнефтегаза выглядят довольно устойчивыми к коррекции цен на нефть. Компания не так сильно вовлечена в нефтепереработку, как другие нефтяники, поэтому негативное влияние на маржу переработки из-за падения мировых цен на нефтепродукты будет ограниченным. Вместе с тем у Сургутнефтегаза очень сильный баланс: она ежегодно зарабатывает $3 млрд процентов по кубышке в размере $64 млрд, что ограничит влияние падающей нефти на чистую прибыль. С учетом левериджа Лукойл и Татнефть пострадают немного меньше, чем нефтегазовые компании в среднем. 
Больше всего пострадают компании с более высокой долей нефтепеработки и/или с более серьезной долговой нагрузкой. У Роснефти самая высокая долговая нагрузка среди нефтяников, что усугубит негативный эффект падения EBITDA на уровне чистой прибыли. У Газпром нефти в целом сильный баланс, но большая доля в нефтепереработке, поэтому компания может быть более подвержена риску, чем аналоги в нефтегазе. По этой причине материнская компания «Газпром» также подвергнется относительно сильному влиянию. После потери большей части объемов продаж в Европе Газпром рассчитывает на денежные потоки Газпром нефти и увеличение дивидендов для управления своей долговой нагрузкой.
Перспективы спроса ухудшаются, предложение вне ОПЕК+ растет. На этом фоне нефть вышла из привычного диапазона цен. Brent может восстановиться до $80, но скорее перейдет в новый диапазон вблизи $60 за баррель. Мы допускаем падение EBITDA нефтяных компаний на 10% и более, но это будет зависеть и от динамики курса рубля."
7,2024-09-06 09:00:00,"В пятницу, 6 сентября, акционеры ТГК-14 на внеочередном общем собрании примут решение по дивидендам за 1 полугодие. Совет директоров ТГК-14 рекомендовал 0,046 копейки на акцию по итогам отчетного периода. Предлагается направить 100% от чистой прибыли, то есть 619 млн рублей.
""РусАгро"" проведет повторное ВОСА по вопросу редомициляции. Ранее компания объясняла, что из-за нерешенного вопроса с “переездом” в Россию она не может вернуться к выплате дивидендов.
Акционеры Whoosh рассмотрят вопрос досрочного прекращения полномочий членов совета директоров компании. Реестр для участия в ВОСА закрылся 16 июля.
Акции «Мать и дитя» 6 сентября последний день торгуются с дивидендами. Закрытие реестра - 9 сентября.
""Газпром нефть"" закроет реестр акционеров для участия в ВОСА.  
Банк России опубликует «Обзор рисков финансовых рынков», «Обзор ключевых показателей деятельности страховщиков», а также информационно-аналитический комментарий «Денежно-кредитные условия и трансмиссионный механизм денежно-кредитной политики».
Минфин начнет направлять на покупку валюты/золота ежедневно 8,2 млрд рублей."
8,2024-09-06 07:10:00,"Закрытие реестра акционеров ""Газпром нефти"" для участия в ВОСА - 6 сентября.
Внеочередное общее собрание акционеров ""Газпром нефти"" пройдет 30 сентября."
9,2024-09-02 18:09:00,"Российский фондовый рынок все еще находится в поисках дна, и сегодня индекс МосБиржи впервые с середины мая 2023 года опустился ниже отметки в 2600 пунктов. Многие аналитики утверждают, что рынку попросту не хватает драйверов для стабильного роста, а пессимизма инвесторам придают ожидания сентябрьского заседания Банка России, который может вновь объявить об увеличении ключевой ставки.
Между тем, как пишет «Коммерсант», в ближайшие два месяца компании РФ могут выплатить акционерам дивиденды на общую сумму свыше 650 млрд рублей, две трети из которых, как ожидается, обеспечит нефтегазовый сектор.
Вернутся ли эти деньги в рынок акций или перетекут куда-то еще? Как спасти свой портфель на падающем рынке? Какой стратегии придерживаться инвесторам в сентябре? В этих и других вопросах Finam.ru разбирался вместе с экспертами.
Осень началась с дальнейшего снижения индекса МосБиржи. Как отмечает Евгений Коган, инвестбанкир и автор Telegram-канала Bitkogan, коррекция с майских максимумов достигла уже 27%, что является одним из самых длительных падений в истории российского рынка. По словам эксперта, закредитованные компании ожидаемо отчитались слабо, что привело к падению их акций, однако неплохие отчеты нефтегазового сектора и даже «Газпрома» не помогают индексу. «С точки зрения фундаментальной картины на данный момент факторов для разворота пока недостаточно. Даже несмотря на то, что многие бумаги уже торгуются действительно дешево — и по дивидендной доходности, и по стоимостной оценке, интереса покупателей не видно», - подчеркивает он. По мнению Когана, вполне вероятно, что ясность для рынка акций внесет заседание ЦБ РФ 13 сентября, на котором будет вынесено решение по ключевой ставке.
Между тем, как заявляет ведущий аналитик Freedom Finance Global Наталья Мильчакова, негативом для фондового рынка РФ в последние дни августа стало падение цен на нефть ниже $78 за баррель. «Озвученные ЦБ РФ в прошлую пятницу прогнозы на 2025 год, среди которых есть и сценарий глобального кризиса, остановили активность покупателей акций. Негативный сценарий от Банка России в какой-то мере совпадает с динамикой нефтяных цен, которые падают, несмотря на сокращение экспорта нефти Ливией и объявленные Ираном планы по снижению добычи. По всей видимости, нефтяной рынок ожидает каких-либо заявлений и мер по стабилизации от ОПЕК+, но нефтяной альянс пока молчит. На российский фондовый рынок также давят ожидания очередного повышения процентной ставки Банком России 13 сентября при том, что некоторые, в том числе, крупнейшие, российские эмитенты уже указывают в своих отчетностях, что слишком высокие процентные ставки по кредитам и займам являются рисками для их будущих финансовых результатов», - отмечает Мильчакова.
В свою очередь, Елена Кожухова, аналитик ИК «ВЕЛЕС Капитал», выделила как фундаментальные, так и технические факторы наблюдающейся на рынке динамики. По ее словам, с фундаментальной точки зрения, российский рынок входит в сентябрь с сохранением понижательных рисков из-за отсутствия монетарных, геополитических и фискальных поводов для роста. При этом риски новых повышений ключевой ставки ЦБ в ближайшие месяцы не теряют актуальности, что продолжит уменьшать привлекательность акций по сравнению с облигациями и депозитами. Отвечая на вопросы Finam.ru, она заявила, что в текущих условиях краткосрочным позитивом для рынка могла бы стать пауза регулятора в ужесточении политики, но подобный сценарий из-за высокой инфляции в стране на данный момент не является базовым.
«Техническая картина на российском рынке также остается на стороне продавцов с рисками развития нисходящего движения и пробоем индексом МосБиржи 2500 пунктов с важной поддержкой у 2483 пунктов, от которой индикатор начал восстановление в мае 2023 года. Рынок при этом на краткосрочном и среднесрочном временном промежутке не выглядит перепроданным, что также открывает перед ним новые горизонты снижения. Район важных среднесрочных сопротивлений для индекса МосБиржи расположен у 3000-3060 пунктов», - поясняет Кожухова.
Руководитель отдела анализа акций ФГ «Финам» Наталья Малых при этом полагает, что среднесрочный падающий тренд уже близок к исчерпанию, и если данные по инфляции начнут показывать замедление роста цен, а в геополитике и мировой экономике не возникнет осложнений, то рынок перейдет к стабилизации и затем — к коррекционному росту. «Хотя, по всей видимости, восстанавливаться придется от меньшего уровня, чем представлялось ранее. Сегодня падение набрало обороты, в том числе из-за ожиданий повышения ставки на сентябрьском заседании ЦБ, стоп-лоссов и маржин-коллов, но впереди довольно сильный диапазон поддержки 2450-2500, и для покупок лучше дождаться стабилизации и появления разворотных сигналов», - советует эксперт.
На фоне высоких рисков очередного повышения ключевой ставки ЦБ консервативным инвесторам стоит держать средства в наименее рискованных инструментах, одним из которых, помимо облигаций и вкладов, может стать золото. Такого мнения придерживается Елена Кожухова. «Относительную стабильность в складывающейся ситуации могут сохранять уже подтвержденные наиболее привлекательные по доходности дивидендные истории: «Ростелеком» (выплаты за 2023 год), «Банк «Санкт-Петербург», «Газпром нефть», «Татнефть», «Займер» (выплаты за 1-е полугодие 2024 года), а в случае новых пиков цен на золото – «Полюс» и «Селигдар» (последний также рекомендовал полугодовые дивиденды). Ожидания выплаты дивидендов уже за 9 месяцев текущего года будут сохраняться в «ЛУКОЙЛе», «Роснефти» и «Магните». В то же время эксперт заявляет, что рубль при отсутствии обнадеживающих геополитических новостей рискует продолжить девальвацию, но, вероятно, более плавную, чем в предыдущие кризисные периоды, обеспечивая интерес к валютным экспортерам вроде «Сургутнефтегаза».
Евгений Коган, в свою очередь, рекомендует пока просто наблюдать и постепенно присматриваться к дешевым и качественным активам, среди которых нефтяники, некоторые представители транспортного сектора, а также крепкие электроэнергетики. «Совершенно точно продолжаем избегать тех, кто страдает от высокой ставки – «М.Видео», «Мечел», «Сегежа», АФК «Система» и другие. Эти бумаги уже значительно упали», - подчеркивает он.
Своими рекомендациями для инвесторов поделился также независимый финансовый эксперт, автор Telegram-канала «vernikov100 – инвестирование», Андрей Верников. По его мнению, для инвестиций по текущим ценам интересны акции «Сбербанка», «ЛУКОЙЛа», «НОВАТЭКа», «Астры», «Европлана», PositiveTechnologies. «Сегодня вышла новость, что Банк России приостановил эмиссию акций ПАО «Группа Позитив» (головная компания группы Positive Technologies) и акции просели, но особой паники я не увидел. Инвесторы считают этот актив качественным и не готовы продавать «по любой цене»», - отмечает эксперт. Если же говорить о соотношении активов в портфеле, то, по мнению Верникова, учитывая то, что акции - инструмент высокорисковый, разумно держать долю акций в портфеле 15%-25%, при этом упор сейчас лучше делать на корпоративные флоатеры, фонды денежного рынка, замещающие облигации, золото.
Соберите инвестиционный портфель — и получите денежный приз. Главный приз — 90 000₽, сувениры для 30 лучших участников и подарки каждому!
Наталья Малых из «Финама» считает, что продавать уже поздно, и если есть свободные средства, то имеет смысл усредниться по сильно просевшим позициям.
Тем временем, автор Telegram-канала Антон Весенний выделил две стратегии, которые являются актуальными в текущих условиях. Первая – это докупка «лесенкой» с выбранной периодичностью, или по достигнутым уровням. По его словам, это работает, если вы не хотите потратить весь кэш раньше времени. «Аппетиты сегодня стоит умерить: лучше пропустить часть движения наверх, чем перепутать отскок с восходящим трендом!», - подчеркивает он. Вторая стратегия - максимально избирательный подход к выбору активов. Приоритет, по мнению эксперта, стоит отдавать бумагам, которые в меньшей степени зависят от ключевой ставки (касается и корпоративных бондов тоже), тогда как компании с большим долгом несут в себе как минимум двойной риск. Первый - неподъемные процентные расходы. Второй - гасить долг для эмитента окажется выгоднее, чем отдавать акционерам столь дорогую ликвидность в виде дивидендов.
Аналитик Freedom Finance Global Владимир Чернов, в свою очередь, считает, что в первые две недели сентября российский фондовый рынок, скорее всего, останется под давлением на фоне ожидания повышения ключевой ставки на заседании Банка России 13 сентября. На этом фоне он советует покупать в свой инвестиционный портфель облигации федерального займа или качественные корпоративные облигации с высоким рейтингом. «Индекс государственных облигаций РФ (RGBI) опустился сегодня ниже 103 пунктов, из-за чего доходности десятилетних ОФЗ достигнут примерно 16,5% годовых. Кроме того, чтобы захеджировать свой инвестиционный портфель, можно продать фьючерс на индекс Московской биржи (IMOEXF), сделки short будут приносить доход, пока фондовый рынок снижается, или покупать в него только акции компаний, которые регулярно выплачивают дивиденды с высокой доходностью. После заседания Центрального Банка России 13 сентября и возможного повышения ключевой ставки, возможно, российский фондовый рынок найдет свое «дно» и оттолкнется от него, а доходности облигаций начнут снижаться», - комментирует Чернов.
Между тем Никита Митрофанов, экономист и автор Telegram-канала «Китайская угроза», отмечает, что в тяжелые времена, как сейчас, нужно искать возможности. С одной стороны, портфель нужно защитить защитными активами, по типу ОФЗ или корпоративных облигаций с высоким кредитным рейтингом, золота или депозитов. С другой стороны, когда на рынке распродажа, наступает выгодное время для покупок — если в портфеле есть инструменты, которые сейчас минусят, но имеют большой потенциал на будущее, то в таком случае имеет смысл подумать про усреднение. Отвечая на вопрос о том, какой стратегии придерживаться в сентябре, эксперт заметил, что следует покупать защитные активы с фиксированной доходностью, и находить для себя выгодные предложения на рынке по более рисковым активам. «К слову, при такой ключевой ставке рынок акций еще долго может быть неинтересным, с учетом того, что мало в какой бумаге приглядывается доходность в районе 18-20% годовых, а вот в корпоративных облигациях и даже в депозитах такие варианты есть. При этом инвесторам не стоит делать убытки, только если ваши оценки по каким-то бумагам поменялись. Тогда имеет смысл пересмотреть свою стратегию, и переложиться во что-то менее рискованное и более доходное», - советует он.
По мнению Владимира Чернова, какая-то часть выплаченных дивидендов вернется обратно на российский фондовый рынок, поскольку их часто реинвестируют. Однако в период жесткой денежно-кредитной политики ЦБ РФ он прогнозирует отток большей доли этих средств для их инвестирования в безрисковые финансовые инструменты с фиксированным доходом, а именно в облигации и на банковские вклады. Многое, по его словам, также будет зависеть от монетарной политики ЦБ РФ, но в ближайшие 2 месяца ключевую ставку снижать еще скорее всего не начнут, поэтому большая часть этих средств перейдет на банковские вклады и в облигации.
Наталья Малых, в свою очередь, отмечает, что пока фоном идет экономический рост и сырьевые товары находятся на более-менее приемлемых уровнях, следует ожидать довольно хороших результатов по прибыли 2024 года, а значит и дивидендов. «Осенью и в начале зимы инвесторы начнут формировать дивидендный портфель на следующий дивидендный сезон. До конца года также ожидаем промежуточных дивидендов. И хотя по объемам это будет небольшая часть в процентном отношении от годовых выплат, приличные дивиденды компании станут хорошим сигналом для акционеров, что компания чувствует себя хорошо в условиях повышенной инфляции, ставок и санкций», - комментирует Малых.
В то же время Никита Митрофанов, комментируя прогнозы «Коммерсанта», заметил, что вложиться в нефтянку под дивиденды действительно является неплохой идеей, поскольку доходность в 10% можно будет получить за пару месяцев. «Но в этих бумагах будет дивидендный гэп, так что придется засесть в них до его закрытия, а он может тянуться от пары дней, до нескольких месяцев и даже лет.Я бы скорее поверил в то, что большая часть этих средств вернется на фондовый рынок, но пойдет в облигации. Объективно причин инвестировать сейчас в широкий рынок акций не особо много — только если вы видите хорошую цену и потенциал или если вы хотите усредниться. Если ЦБ РФ повысит ключевую ставку до 20-22%, то переток капитала из риска в защиту продолжится. И то, что сейчас происходит с фондовым рынком, вполне закономерно и соответствует экономическому циклу и текущей ДКП», - заключил эксперт."
