,datetime,article_text
0,2024-09-25 09:25:00,"Ралли на российском рынке акций вчера продолжилось – по итогам основной сессии Индекс Мосбиржи прибавил почти 1,9% и вошел в зону сопротивления 2870-2900 пунктов. При ее пробое цель смещается на «круглые» 3000 пунктов.
Но давайте посмотрим, за счет чего был вчерашний подъем индикатора.
Прежде всего, это очередной взлет тяжеловесного «Газпрома» - на этот раз на 7,2%. Бумагу последние дни активно покупают на неподтвержденной информации о готовящемся снижении налоговой нагрузки на корпорацию. Однако даже если это и произойдет, то сильной поддержки бумаге оно не окажет. По-прежнему у «Газпрома» плохи дела со сбытом своей продукции. Не будем забывать и про старое правило, что «Газпром» очень часто сильно растет на завершении восходящего тренда.
На 3,9% подорожал «НоваТЭК». На бумагу также смотрим негативно из-за тех же проблем со сбытом.
Не верим в дальнейший взлет «Самолета» (+4,9%) из-за недоступности рыночной ипотеки и сворачивания льготных программ покупки жилья. Это же касается и «Циана» (+2,6%).
О сверхзакредитованных «Русале» и «ЭН+» говорилось неоднократно. То есть вчера сильно росли именно неперспективные бумаги.
Учитывая сильную перекупленность рынка, который практически безоткатно отскочил от локальных минимумов года почти на 15%, коррекция назревает.
В тоже время рынок получил хорошую фундаментальную поддержку от озвученных параметров бюджета на 2025 г. Так, глава правительства Михаил Мишустин заявил о росте доходов бюджета в 2025 г. на 12% и снижении дефицита с 1,1% ВВП в 2024 г. до 0,5% в 2025 г. Это явный сигнал на сильное сокращение темпов роста денежной массы и, соответственно, замедления инфляции. Глядишь, и Банк России начнет снижать ставку не в конце первого полугодия 2025 г., как это сейчас прогнозирует рынок, а весной.
В такой ситуации ,возможно, стоит начинать потихоньку набирать в портфели ОФЗ и облигации качественных эмитентов с фиксированным купоном.
Торговать же на рынке акций теперь стоит от лонга, но после прохождения давно назревшей коррекции. Но это совершенно не значит, что в среднесрочные портфели стоит включать бумаги эмитентов с большим долгом.
Не исключено, что снижению рынка акций в ближайшие дни будет способствовать укрепление рубля на налоговом периоде. Вчера на дневном графике пары юань-рубль была нарисована черная свечка с небольшим «телом», но длинным «хвостом» вверх. Это разворотная свеча. Продолжаем ждать укрепления рубля и снижения пары юань-рубль под отметку 13.
Кстати, ожидания сокращения дефицита федерального бюджета позитивно и для национальной валюты. Считаем, что в ближайшие как минимум полгода при отсутствии новых стрессов вложения в рублевые активы будут привлекательнее валютных инвестиций."
1,2024-09-22 12:33:00,"Без реальных мер господдержки и рынок снижается. Так можно сказать о Китае, особенно после недавно вышедшей статистики, от которой пессимизм трейдеров усилился. Как замедление экономики Поднебесной отразится на сырье и, в частности, нефтяном секторе, и каким эхом отзовется на российском рынке и курсе рубля? Какую стратегию выбрать инвестору после заседаний мировых центральных банков? Ответы не только на эти вопросы  искал инвестиционный консультант ФГ «Финам» Тимур Нигматуллин в новом выпуске «Итогов недели».
Эксперт заметил, что в ближайший год ключевая ставка ФРС может оказаться на уровне 2,5%, став по факту нейтральной и сопоставимой с инфляцией, которая продолжит замедляться по инерции. «Снижение ставки позитивно для рисковых активов, для рынка акций, для облигаций, но это работает немного непоследовательно.  Если смотреть на американский рынок акций, то индекс S&P 500 сейчас фактически находится на исторических максимумах. Несмотря на то, что ставка только начала снижаться, акции отросли от своих минимумов полуторалетней давности. Обычно, как и сейчас, акции на американском рынке сработали с опережением, и это в целом довольно типичное поведение для рынка акций. Оно характерно для большинства подобных рыночных циклов», - подчеркнул Нигматуллин.
Что касается американских облигаций, то, по словам эксперта «Финама», они реагируют немного иначе, как и все другие похожие инструменты. Такие инструменты сильно зависят от ставки заимствования на рынке. Нигматуллин отмечает, что обычно доходность облигаций снижается по мере понижения ставки ЦБ, и вот сейчас доходность как краткосрочных, так и долгосрочных снижается по факту снижения ставки ФРС. «При выборе из двух классов активов облигации или акции, наверно, разумно на текущих ценовых уровнях делать выбор в пользу облигаций. На мой взгляд, это будет такой второй волной роста именно сфокусированный на инструментах с фиксированной доходностью», - полагает он.  
Помимо этого, Нигматуллин дал советы относительно того, какие акции можно купить на российском фондовом рынке сейчас, чтобы этот выбор был рациональным. По его мнению, вполне очевидно, что акции должны быть недорогими, дешевыми. «Какой смысл покупать дорогие акции, когда рынок стоит дешево? Помимо того, что акции должны быть дешевыми, они должны обладать двумя дополнительными параметрами. Собственно параметр первый - это честный менеджмент, который не нарушит ваши права как акционеров. Но в России есть такая специфика, что на решение менеджмента сильно влияют мажоритарные акционеры», - заметил эксперт. При этом он выделил ряд компаний в России, которые не обладают идеальной историей корпоративного управления. В частности, это ВТБ, который не платил по субординированным облигациям, а также ЛСР, «Мегафон», МТС, Qiwi или Ozon (неприятная история с еврооблигациями). 
Во-вторых, как заявляет эксперт «Финама», в период кризиса, связанного с высокими процентами ставками, важно не покупать компании с чрезмерным долгом, то есть компании, которые могут столкнуться с проблемами с  обслуживанием этого долга. «В долге ничего плохого нет. Главное, чтобы его было не слишком много. Таких компаний тоже довольно много. На мой взгляд, это «Сегежа», «М.Видео», «РУСАЛ», «Мечел» и «Самолет». Есть еще несколько. То есть вычеркиваем компании с неидеальной  историей обслуживания долга», - отмечает Нигматуллин.  
Кроме того, эксперт советует сторониться компаний-бенефициаров каких-то текущих тенденций, которые могут быть переоценены (то есть рынок стоит дешево, а эти компании могут стоить дорого).
В ходе выпуска Тимур Нигматуллин также рассказал, как правильно диверсифицировать портфель, обсудил состояние экономики Китая и ее влияние на сырьевые цены и другие экономики мира.  Полный выпуск «Итогов недели» можно посмотреть здесь, по этой ссылке или тут.
Эффективно диверсифицировать портфель можно благодаря инвестициям с одного счета на биржах РФ и США. Открыть брокерский счет дистанционно можно за 3 минуты. Станьте совладельцем успешных компаний. Инвестируйте в акции российских и мировых гигантов из разных секторов на Московской, NYSE, NASDAQ и Гонконгской биржах."
2,2024-09-10 10:50:00,"Операционные результаты Группы Самолет (SMLT) за 6m2024 можно охарактеризовать как впечатляющие, но, к сожалению, это уже история. Очевидно, что отмена льготных программ ипотеки и высокая ставка вряд ли позволят повторить подобные результаты во втором полугодии, а инвестор всегда смотрит в будущее.
Скорее всего, до конца года мы увидим снижение объёмов продаж, и лишь за счёт роста средней цены за м² мы не ожидаем совсем уж фатальных результатов.
При этом фин. результаты, несмотря на рекордную выручку по итогам 6m2024 (+68,5% г/г до 171 млрд руб.) и убедительные темпы роста скорр. показателя EBITDA (+61,7% г/г до 53,5 млрд руб), уже сейчас косвенно демонстрируют влияние высокой ключевой ставки. В частности, обращает на себя внимание оглушительное падение чистой прибыли сразу на -48,9% (г/г) до 4,7 млрд руб., при рентабельности на скромном уровне в 2,8% (по сравнению с 9,1% годом ранее).
Дьявол кроется в фин. расходах компании, которые по сравнению с 6m2023 выросли в полтора раза, составив 39,4 млрд руб., и буквально съели чистую прибыль - это безусловный негатив, который обусловлен в первую очередь высокими ставками по займам. Причём эта ""болячка"" теперь будет касаться всех наших девелоперов, и в отчётностях мы это тоже наверняка увидим.
Долговая нагрузка Самолета по соотношению NetDebt/EBITDA (с учётом проектного финансирования за вычетом остатков на эскроу) составила 2,2х. Это, конечно, достаточно много, но модель бизнеса позволяет работать с таким уровнем долга.
Что нравится в этом кейсе:
- Самолет - это по-прежнему растущая компания: в планах продаж на 2024 год значится 2000 тыс. кв.м, на 2025 год - 3000 тыс. кв.м, и пока от этих прогнозов компания не отказывается.
- Самолет ставит своей целью повышение эффективности и попадание в ТОП-10 российских компаний по капитализации. Менеджмент за всё время публичной истории чётко держит своё слово, причин сомневаться у нас пока нет.
- Компания прекрасно понимает, что необходимо снизить долговую нагрузку, и в планах снижение её до уровня 2x.
- Самолет уже наметил план работы в условиях жёсткой денежно-кредитной политики ЦБ.
- На таком сложном и ""тонком"" рынке есть все основания полагать, что Самолет будет постепенно отбирать/выкупать доли у мелких застройщиков, которым станет совсем туго в текущие времена.
Что не нравится в этом кейсе:
- Про дивиденды говорить не приходится: Самолет активно инвестирует и планирует дальнейшую региональную экспансию.
- Поговаривают, что Самолет слил в рынок часть акций, купленных ранее в рамках байбека. Это как-то не укладывается в желании компании попасть в ТОП-10 российских компаний по капитализации, но быть может в этом решении есть какой-то сакральный смысл?
Цикл снижения ключевой ставки, который рано или поздно наступит, неминуемо приведёт к перетоку финансов на другие рынки, и один из тех, кто сможет предложить достаточную ёмкость рынка, кроме долгового - это рынок недвижимости. Поэтому с горизонтом 2-3 года вполне можно попытаться сделать ставку на Самолет (SMLT) и Etalon (ETLN) - успешных игроков на девелоперском рынке.
Также, из-за ухудшения условий ипотечного кредитования на вторичном рынке и ужесточения программы льготной ипотеки на новостройки, интересными выглядят бумаги ЦИАН (CIAN), т.к. потенциальные покупатели жилья теперь вновь возвращают фокус внимания на рынок аренды жилой недвижимости. Фактор редомициляции окажет дополнительную поддержку этому кейсу.
А вот акции ЛСР (LSRG), с её непредсказуемой див. политикой, и уж тем более ПИК (PIKK), которая по-прежнему остаётся крайне закрытой компанией, мне нравятся куда меньше с точки зрения разумных инвестиций.
Единственно, чего хочется пожелать - это чтобы на предстоящем заседании ЦБ в пятницу ключевая ставка не выросла выше текущих 18%. В нынешних реалиях даже это станет позитивом для рынка акций в целом, и для котировок акций девелоперов в частности.
Источник"
3,2024-09-09 11:15:00,"Индекс МосБиржи смог удержать критически важный уровень в 2500 и отскочить. Похоже, намечается разворот, и я подобрал, на мой взгляд, наиболее интересные бумаги
Я жду отскок в нефти и волну девальвации рубля в сторону 95-100 за доллар, поэтому интересны нефтяники, в первую очередь ЛУКОЙЛ с кубышкой более 1,1 трлн рублей и потенциальным выкупом нерезидентов или дивидендами в 16-18% годовых и Роснефть, где скоро мы увидим эффект от запуска проекта Восток-Ойл, да и сама компания оценивается дешево по мультипликаторам. Цель по Лукойлу на 12 мес 10000₽, по Роснефти - 960₽
Также из экспортеров интересен Полюс: золото на исторических максимумах и я ожидаю похода к $3000 за унцию в течение полугода, что вкупе с девальвацией выводит нас на целевую цену в течение 12 мес в районе 16000₽. Ну и НЛМК, который адски залили из-за расконвертации расписок, фундаментальных причин для падения на -45% за 3 месяца нет. Здесь и идея краткосрочного отскока к ~200₽, да и фундаментальна оправдана цена в 250₽ в течение года
Существенно перепроданы:
OZON - падение, вероятно, связано с предстоящим переездом в РФ, так как фундаментальных причин для падения на -30% с июня нет. Может, кто-то боялся, что АФК Система продаст Озон, чтобы закрыть свои дыры и спасти Сегежу, но это крайне маловероятно. К тому же долгосрочно компании на руку корпоративный конфликт в Wildberries, да есть и другие точки роста в виде Озон Банка. Целевая цена у меня 5000₽ на 12 мес
 
Яндекс выглядит слабо после разделения бизнеса на фоне общей вялости рынка, но фундаментально компания выглядит очень сильно, еще и дивиденды скоро будут. Пару недель назад общался с компанией тет-а-тет, и это просто шок. Вам для понимания: с 2021 года выручка Яндекса выросла в 4 раза (по итогам 2024), а на компанию приходится 1,5% ВВП России. Топ-позиция в моем портфеле с целевой ценой в 7500₽ в течение года
Интересных идей еще немало: на мой взгляд, незаслуженно залили Wush и Самолет, где больше эмоций, чем адекватности. Проливали Делимобиль и IVA Technologies на маржинколлах, а когда ситуация выровнялась, бумаги отскочили на +10% в день. Акции роста и недавние IPO, думаю, нас очень сильно удивят, когда произойдет фундаментальный долгосрочный разворот рынка. А это случится, когда ЦБ перейдет к снижению ключевой ставки
Так что есть на чем зарабатывать и в моменте, и долгосрочно. Надеюсь, мой взгляд вам поможет сориентироваться в этом шторме. Помним, что это не рекомендация, а мое личное мнение, решение - за вами. 
Источник"
4,2024-09-04 14:54:00,"Торги среды стартовали в плюсе и смогли сохранить позитивный настрой к середине дня. К 14:45 мск индекс МосБиржи растет на 2,35% - до 2583,75 пункта, индекс РТС укрепляется на 2,28% - до 917,89 пункта.
Поддержку рынку сегодня оказывают поступающие новости с экономического форума во Владивостоке. В частности, в ходе заседания Совета участников судоходства по Северному морскому пути, представитель «Норникеля» (+1,5%) заявил о планах инвестировать в расширение СМП 120 млрд руб. Такие новости поддержали рост бумаг главного бенефициара развития этого арктического маршрута – «Совкомфлота» (+3,4%). Бумаги «Объединенной авиационной корпорации» (+7%) поддержала новость о заключении на ВЭФ контракта на поставку 238 самолетов ГТЛК в 2027–2032 годах.
Профессиональные управляющие «Финама» представили новые валютные облигационные стратегии с ожидаемой доходностью до 11% годовых в долларах США и до 6% годовых — в юанях. В рамках стратегий осуществляется реинвестирование купонных выплат по облигациям — такой подход позволяет рассчитывать на большую эффективность инвестиций. Для подключения не требуется статус квалифицированного инвестора.
Рост смогли показать и бумаги МКБ (+4,1%) и «Самолета» (+3,7%), после подписания на полях ВЭФ соглашения о строительстве современного жилья в Мурманске, Екатеринбурге, Казани и ряде других крупных городов.
Рост «префов» «Сургутнефтегаза» (+5,3%) вызван ослаблением рубля.
На российском валютном рынке наблюдается волатильная торговля, юань впервые превысил отметку 12,5 рубля. Обновление рублем локального минимума выглядит логичным для начала нового месяца, когда рубль сезонно страдает от снижения продаж экспортной выручки после уплаты налогов.
Ослабление нацвалюты могло быть вызвано ожиданиями снижения продаж китайской валюты Центробанком в сентябре. «Сегодня Минфин раскроет сентябрьские объемы покупок валюты по бюджетному правилу. В случае их существенного роста и, соответственно, снижения чистых продаж юаней Банком России, рост курса CNYRUB в сторону 12,5 руб./юань может ускориться», - прокомментировали аналитики «БКС Мир Инвестиций».
«Не исключаем, что в краткосрочной перспективе курс будет держаться в диапазоне 12,5-13 рублей за юань, по сути вернувшись к более справедливым, на наш взгляд, майским уровням», - говорит Денис Попов, главный аналитик ПСБ.
Аналитики говорят о том, что слабость российской валюты может быть вызвана и тем, что крупнейший западный банк, остающийся в России, – «Райффайзенбанк» - с сентября прекратил переводы СКВ за рубеж от российских клиентов, что перекрывает канал оттока капитала из РФ, что привело к снижению спроса на инвалюту и увеличению ее продажи за рубли.
На валютных торгах Московской биржи юань подрос на 4,2%, поднявшись до 12,6 рубля. Ближайший фьючерс на доллар (Si) укрепляется на 0,3% - до 88,09 рубля. На межбанке доллар подрожал на 1,7% - до 89,39 рубля, европейская валюта подрастает на 1,8% - до 98,89 рубля.
Нефтяные котировки все еще находятся на низком уровне, хотя и пытаются расти. К настоящему моменту фьючерс на нефть марки Brent подрос на 1,25 – до $74,62 за баррель, Light укрепляется на 2% - до $71,28 за баррель. Главными проблемами для сырья выступают устойчивое ослабление спроса Китая на энергоносители и планы ОПЕК+ по наращиванию поставок с октября (излишки сырья могут быть компенсированы запланированными сокращениями добычи Казахстаном и Ираком). При этом рынок игнорирует приостановку добычи и экспорта нефти Ливией. Аналитики говорят о том, что для рынка потеря 1 млн баррелей в сутки некритична.
Свое влияние оказывает и падение морских поставок нефти из России до самого низкого уровня за месяц. 
Оценивает рынок новости о том, что хуситы нанесли удары по танкерам с нефтью в Красном море, объяснив свои действия тем, что судна нарушали запрет на заходы в порты Палестины. Хуситы с октября 2023 года атакуют суда в Аденском заливе и Красном море в ответ на операцию Израиля в секторе Газа. Большая часть флота ушла с самого короткого маршрута между Европой и Азией и ходит вокруг Африки, но через Красное море рискуют ходить суда серого флота, которые принадлежат неизвестным компаниям и перевозят российскую нефть в обход санкций."
5,2024-09-04 09:45:00,"Вчерашний день начался с мощного отскока. На пике Индекс Мосбиржи рос более чем на 2% и даже достиг отметки 2600 пунктов. Однако закрылся основной индикатор очередным снижением, на этот раз на 0,8%.
Во многом распродажи прокатились из-за довольно неожиданного почти 5-процентного обвала нефти. Никаких весомых причин для этого не было, риски увеличения добычи странами ОПЕК+ и появления на рынке около 500 тыс. баррелей в сутки ливийской нефти были и ранее. Просто нефть пошла вниз на сильном коррекционном падении американского рынка.
Сегодня с утра нефть теряет еще треть процента, но мы ждем ее среднесрочного роста. Сильная поддержка расположена в диапазоне 71,5-72,2 доллара за баррель. Там имеет смысл агрессивно покупать нефтяные контракты с обязательным выставлением стопов.
Лидером вчерашнего дня стали расписки Fix Price, взлетевшие более чем на 16%. Никаких новостей по бумаге не было, просто произошел мощный отскок от в очередной раз достигнутых исторических минимумов.
Однако, среднесрочные перспективы бумаги как, впрочем, и других ритейлеров выглядят неоднозначно. Рынок сейчас перенасыщен, покупательная активность населения не будет сильно расти в условиях высоких депозитов, маржинальность бизнеса продолжит оставаться низкой.
В десятке лучших были и бумаги «Самолета» с ПИКом. Про девелоперов мы уже много раз говорили, что их бизнес ждут не лучшие времена в условиях высоченных кредитных ставок.
Еще более неожиданным выглядит 3-процентный рост «Роснефти» на обвалившейся нефти. «Роснефть» мы считаем одной из самых сильных и безопасных бумаг российского рынка. Возможно, кто-то очень крупный своими деньгами присоединился к нашему мнению.
Таким образом, несмотря на неудавшийся отскок в целом по рынку, вчера было много хорошо выросших бумаг. Это говорит о том, что инвесторы начинают подбирать акции.
Нет никаких сомнений, что основное падение уже состоялось, поэтому спекулянты будут с большими опасками открывать новые шорты.
Вполне возможно, что Индекс Мосбиржи очень близок к «основному дну», от которого должен произойти отскок, который сменится боковиком или, в самом лучшем случае, очень невнятным ростом. Но дальнейшая динамика будет зависеть от риторики ЦБ 13 сентября.
Впрочем, это совершенно не исключает краткосрочный уход Индекса Мосбиржи к сильной поддержке 2400 пунктов.
Продолжает резко укрепляться курс рубля к доллару. Вчера официальное значение американской валюты снизилось еще на 1,5%. В ближайшие несколько дней данная тенденция обещает продолжиться, о чем говорят более дешевые фьючерсы на пару доллар-рубль.
Однако к юаню рубль ослаб более чем на полпроцента, а внутридневная просадка была и того больше. Рублю неплохо бы немного окрепнуть и к юаню."
6,2024-09-02 09:55:00,"Индекс Мосбиржи в августе упал на 9,94%. Это стало третьим по величине падением индекса в августе за всю историю его существования. Более значительное падение наблюдалось только в 1999 году, когда индекс упал на 12,33%, и в 1998 году, во время финансового кризиса. А с мая этого года наш фондовый рынок потерял уже 25%.
Смотрю я вот на наш фондовый рынок и понимаю, что коррекция уже несколько затянулась. Но потенциал снижения все еще есть. Особо расти нам пока нет причин. Просто хочу напомнить, что некоторые эмитенты уже достаточно серьезно припали и могут быть рассмотрены в качестве усиления позиций. Я бы присмотрелся к этим бумагам:
- Роснефть уже упала на 21% 
- Газпром нефть на 30% 
- Самолет на 53%  
Конечно, это не все интересные истории, их на нашем рынке сейчас очень много. Главное помните, что докупки должны быть строго по плану и будьте готовы не растратить весь кэш сразу. Потому что мы легко можем уйти на 2500 по индексу Мосбиржи. Именно там сейчас ближайший уровень поддержки.
А вообще инвестировать в акции сейчас все сложнее и сложнее, потому что на рынке очень много вариантов с доходностью от 20 до 42% при осязаемых рисках. Это я по себе замечаю. Думаю у всех примерно такое же настроение. Поэтому (в том числе) наш рынок и не растет.
Источник"
7,2024-09-01 18:10:00,"Все лето российский рынок находился в нисходящем тренде, и за период с 20 мая по 1 сентября котировки IMOEX снизились на 25%. Если смотреть с начала года, то падение на 14,5%.
Можно ли было спрогнозировать такую коррекцию?
Скорее всего нет, потому что здесь влияние оказывали многие факторы, от ставки ЦБ и курса доллара до выхода некоторых нерезидентов. Но были определенные сигналы, что данная просадка может быть более существенной, чем в среднем по рынку (обычно это 10-15%).
Когда индекс только-только пробил отметку в 3000 пунктов, появился первый сигнал к возможному продолжению снижения. Обычно на коррекциях фундаментальный анализ перестает работать и нужно пользоваться другими инструментами.
Но где искать дно сейчас? И стоит ли его вообще искать?
Я бросил этим заниматься практически сразу, как только начал. Практика показывает, что в ожидании дна часто его пропускаешь, либо определяешь неправильно. Для себя выбрал стратегию докупок лесенкой с определенной периодичностью, в зависимости от глубины коррекции. И придерживаюсь такой тактики более 5 лет.
Надо также учитывать, что акции падают не синхронно с IMOEX, одни улетают вниз быстрее, а другие наоборот, практически не корректируются. Это зависит от многих факторов, от ликвидности до отчетов и уровня потенциальных дивидендов, сейчас не будем глубоко в это погружаться.
Рассмотрим некоторые примеры:
Роснефть скорректировалась всего на 21% с максимумов конца 2023 года, а Газпром нефть за этот же период почти на 30%. Хотя, казалось бы, бумаги из одного сектора, все платят дивиденды и у Газпром нефти дивидендная доходность даже была повыше. Стоит ли считать это дном - думаю, что есть потенциал еще немного скорректироваться, хотя и текущие цены уже интересные.
Акции Эталона снизились на 36%, за этот же период котировки Самолета упали более, чем на 53%.
Акции Магнита снизились на 45%, а Х5 всего на 13%, а все почему? Потому что Х5 во время ушли на редомициляцию.
Ближайший сильный уровень поддержки по индексу Мосбиржи находится на отметке 2500 пунктов, пока это единственные ориентир, к которому мы может двигаться. Но станет ли он разворотным и дойдем ли мы до него - покажет только время. 
Я уже начал подкупать некоторые акции, которые не сильно зависят от размера ключевой ставки. Если рынок даст возможность их докупить еще ниже, тоже буду этим пользоваться. Главное, не потратить всю кубышку раньше времени. В 2018 году у меня была такая ситуация, поэтому сейчас, стараюсь более аккуратно выбирать целевые уровни для докупок.
Не является индивидуальной инвестиционной рекомендацией!
Источник"
8,2024-08-30 17:42:00,"Высокая ставка ЦБ в России надолго. Как накануне сообщил регулятор, даже в оптимистичном сценарии она будет находиться в диапазоне 12-14% годовых в следующем году, а в худшем случае составит 20-22%. Жесткая денежно-кредитная политика Банка России приводит к увеличению стоимости кредитов, в результате оказываются под давлением компании с высокой долговой нагрузкой. На фоне опасения по этому поводу в последние дни уже обвалились акции «Сегежи», «М.Видео» и «Мечела». Кто еще может стать «жертвой» высоких ставок и как в этой ситуации действовать инвесторам? Finam.ru подготовил обзор.
Акции «Сегежи» с 27 августа потеряли более 30% стоимости после того, как компания опубликовала отчет по МСФО за 1 полугодие и сообщила о планах допэмиссии. 
«Выручка и операционные доходы выросли. Но выросли и капитальные затраты. В результате чистый убыток увеличился почти на четверть. Однако главная проблема — это долг, который не только не снижается, но и увеличился. Итого он уже 144 млрд рублей. Очевидно, что самостоятельно компания с этим не справится. Свободный денежный поток за первое полугодие составил всего 20 млрд рублей, а в следующем году «Сегежа» должна погасить обязательства на сумму почти втрое больше», - отметили аналитики InvestFuture.
Как подчеркнул аналитик Freedom Finance Global Владимир Чернов, основное падение акций было вызвано итогами конференс-колла для инвесторов, где менеджмент рассказал о договоренности с некоторыми банками по поводу реструктуризации части долга и переносе платежей по телу кредита на пять лет, а также о принятии принципиального решения провести допэмиссию. Подробности в отношении SPO руководство пообещало раскрыть осенью. «Тем не менее уже понятно, что в результате дополнительной эмиссии прибыль акционеров на акцию (EPS) упадет, а объем SPO может составить существенные 100–150 млрд руб.», - добавил Чернов.
Акции «М.Видео» с 26 августа потеряли около 25%. Акции «Мечела» несли потери в течение более длительного времени – как обыкновенные, так и привилегированные снизились примерно на 30% с середины августа.
«Обе компании имеют большую долговую нагрузку и в текущих реалиях, когда высокая ставка будет оставаться с нами долго, они выглядят максимально плохо. Если бумаги уже есть в портфеле с большим минусом, то смысла продавать их нет, если только для снижения налоговой базы своего портфеля. Если же бумаг нет в портфеле, то и нет смысла смотреть на них, пока остаются проблемы с долгами. Это касается обеих компаний, ситуация у них похожая», - полагает шеф-редактор InvestFuture Антон Жуков.
Помимо упомянутых, к компаниям с высокой долговой нагрузкой относится АФК «Система», отметил в комментарии для Finam.ru аналитик УК ""Ингосстрах-Инвестиции"" Артем Аутлев. «Тем более, что холдинг, вероятно, будет выкупать планируемую допэмиссию «Сегежи». Таким образом, долговая нагрузка холдинга может вырасти до конца года, что может негативно сказаться на итоговом финансовом результате в связи с ростом процентных расходов на обслуживание долга», - подчеркнул эксперт.
По его мнению, при нынешнем уровне ключевой ставки инвесторам следует обходить стороной акции компаний с высокой долговой нагрузкой. «Если инвестор принимает на себя повышенный риск и решает инвестировать в акции, ему следует в текущих условиях присматриваться к акциям компаний, которые хранят на балансе большой объем денежных средств либо к компаниям с низкой долговой нагрузкой», - считает Аутлев.
Альберт Короев, начальник отдела экспертов по фондовому рынку «БКС Мир инвестиций», среди компаний, у которых могут быть проблемы из-за высокой ставки ЦБ, также выделяет «Систему». Кроме того, он назвал девелоперов, ТМК и «РУСАЛ».
По мнению аналитиков «Финама», в банковском секторе больше других страдает от жесткой монетарной политики ВТБ. Из-за особенностей структуры пассивов банка рост процентных ставок оказывает заметное давление на его чистую процентную маржу, что, соответственно, ведет к снижению чистого процентного дохода, даже несмотря на неплохой рост кредитных портфелей. Это, в свою очередь, отрицательно сказывается на динамике чистой прибыли, которая, правда, поддерживается за счет нерегулярных, разовых доходов.
«В то же время какой-то сильной угрозы финансовому положению ВТБ из-за высоких ставок мы не видим, тем более, что банк работает над постепенным улучшением структуры пассивов и ожидает существенного восстановления чистой процентной маржи в ближайшие годы. В данный момент наш рейтинг по акциям ВТБ - ""Покупать"" с целевой ценой 165 руб. Однако мы планируем в ближайшее время обновить модель оценки данных бумаг (и, возможно, целевую цену и их рейтинг) с учетом последних финансовых результатов банка», - сообщили эксперты.
Также они отметили, что акции «Делимобиля» продают из-за высокой долговой нагрузки компании. «Хоть бумага уже недооценена, распродажи могут продолжиться в краткосрочной перспективе. По АФК – тоже недооценена по своим активам, но из-за высокого долга распродажи могут продолжиться», - добавили аналитики «Финама».
Оценить перспективы поможет искусственный интеллект – в сервисе «Финам AI-скринер» можно узнать соотношение долга компаний к прибыли, а также прогнозы по цене акций. «Финам AI-скринер» — возможности ИИ для диверсификации инвестиций.
Артем Аутлев говорит, что сейчас трудно прогнозировать решение ЦБ РФ по ключевой ставке на ближайшем заседании. «Мы видим некоторое замедление недельной инфляции, но в то же время кредитование продолжает расти быстрыми темпами. Поэтому регулятор может как поднять ставку на заседании в сентябре, так и оставить без изменений. Если ставка будет повышена, а сигнал будет оставаться ястребиным, можем увидеть дальнейшее падение рынка», - считает эксперт.
Альберт Короев сообщил, что пока не ждет повышения ключевой ставки в сентябре, эффект от ее повышения до 18% еще в полной мере не проявился. «По индексу МосБиржи уровни поддержки: 2600-2650, опять же пока рассчитываю, что их удастся удержать. Мы позитивно смотрим на бумаги «ЛУКОЙЛа», «Газпром нефти», «ТКС», «Яндекса», «Мосбиржи», - добавил Короев.
Аналитики «Финама» полагают, что в скором времени индекс МосБиржи может снизиться до отметки 2600 пунктов - рынок в моменте угнетают в основном высокие ставки и перспектива их дальнейшего повышения. Индекс сполз обратно ниже 2700 пунктов, и недельное закрытие выглядит слабым.
«Поэтому на следующей неделе, скорее всего, увидим индекс еще ниже. В то же время, жесткая ДКП по большей части уже отражена в ценах, коррекция от майских пиков составляет уже 25% и «медвежий» потенциал уже почти исчерпан. После вчерашних негативных комментариев от ЦБ не последовало панических продаж, и в скором времени можно ожидать стабилизации и начала спекулятивных покупок. Ослабление рубля последних недель все еще не нашло отражения в котировках экспортеров и индекса Мосбиржи. Это неотыгранный фактор. Вряд пока можно рассчитывать на полноценное ралли, но восстановление до 3000 пунктов к концу квартала вполне можем увидеть, особенно если недельные данные по инфляции покажут ее охлаждение или цены на нефть выйдут на более высокие уровни. Главное, чтобы не было сильного негатива по линии геополитики и состояния мировой экономики», - оценили эксперты «Финама»."
