,datetime,article_text
0,2024-09-25 10:40:00,"Несмотря на масштабы бизнеса, Яндекс все еще остается быстрорастущей компанией, которая уверенно прибавляет по всем направлениям деятельности. Однако быстрый рост выручки - не равен эффективности. И сегодня на примере отчета за первое полугодие 2024 года мы с вами в этом убедимся.
Итак, консолидированная выручка компании за отчетный период увеличилась на 38,4% до 477,6 млрд рублей. Как и прежде, основной вклад в нее привносит сегмент Поиска и портала с долей в 35% от общей выручки. Последняя увеличилась на 35% до 197 ярдов. При этом сегмент является еще и самым эффективным. Скорректированная EBITDA выросла на 27% до 95,6 млрд рублей.
Электронная коммерция, Райдтех и Доставка также подросла на 40% до 256,6 млрд рублей с одновременным ростом товарооборота в сервисах электронной коммерции (GMV) только за второй квартал на 53%. Скорректированная EBITDA уже вышла в плюс по полугодию и составила 11,7 млрд рублей, против убытка в 17 ярдов годом ранее.
Яндекс.Плюс и развлекательные сервисы не отстают по динамике, с темпами роста в плюс 48% год к году. Число подписчиков Плюса перевалило за 33,7 млн человек, однако такой рост сопряжен с повышенными инвестициями в продвижение контента, которые увели скорректированную EBITDA на отрицательные значения в минус 241 млн рублей.
Сегмент сервисов объявлений включает Авто.ру, Яндекс Недвижимость, Яндекс Аренду и Яндекс Путешествия и растет на 53% по выручке до 15,3 млрд рублей. Сегмент убыточен по тем же причинам, что и развлекательные сервисы и генерирует убыток в 1,5 ярда по полугодию.
Что до Прочих бизнес-юнитов, то тут без изменений. Самые высокие темпы роста выручки (+63% г/г до 44,7 млрд рублей) и самый большой убыток в размере 23,4 млрд. Также стоит отметить сильный рост процентных расходов Яндекса до 15,9 млрд рублей, что и привело к убытку за первое полугодие в размере 11,7 млрд рублей. С такой ставкой не удивительно, что процентные расходы отжирают всю прибыль.
Несмотря на падение эффективности, Яндекс все еще сохраняет привлекательность. Компания лишилась инфраструктурного риска, заплатила первые в истории дивиденды, хоть доходность и составила всего 2%, а также сохраняет высокие темпы роста выручки. Все это дает мне повод удерживать акции компании в своем инвестиционном портфеле.
Не является инвестиционной рекомендацией 
Источник"
1,2024-09-23 20:20:00,"В последнюю неделю сентября российский рынок отбросил страхи и уверенно растет. На закрытии торгов понедельника индекс МосБиржи окреп на 1,35% - до 2819,87 пункта, индекс РТС поднялся на 0,98% - до 956,01 пункта. Закрепление рублевого индекса выше 2800 пунктов открывает дорогу к отметке 3000.
«Индекс МосБиржи с недавних минимумов вырос уже на 12%. При этом, судя по агрессивному характеру роста и индексу RSI, небольшой потенциал восстановления еще сохраняется. Ближайшей целью для рынка выступает отметка 2900 пунктов, а поддержкой – 2730 пунктов», - говорит Иванов Игнат, аналитик ФГ «ФИНАМ».
Оптимизм присутствует и на зарубежных площадках, аппетит к риску растет повсеместно. «Позитивное настроение на многих фондовых рынках мира после резкого снижения на прошлой неделе процентных ставок ФРС США способствует покупкам акций развивающихся стран, в том числе, российских. Угроза рецессии в США и Китае отступила», - отметила Наталья Мильчакова, ведущий аналитик Freedom Finance Global.

Помогаем новым клиентам «Финама» сделать первый шаг в инвестициях с нами — и сразу получить прибыль. Инвестируйте с ежедневной гарантированной премией 30% годовых на ваши активы! Пополните счет и начните свой путь к выгодным инвестициям прямо сейчас.
Сдерживающим фактором на вечерней сессии для российских индексов выступила слабость нефти. К настоящему моменту фьючерс на нефть марки Brent просел на 1,2% - до $73,62 за баррель, фьючерс на нефть марки Light ослаб на 2,1% - до $70,08 за баррель. Инвесторы оценивают опубликованную Bloomberg статью о том, что санкции против российских нефтяных танкеров не приносят результата, а скорость возвращения российских судов увеличивается.
Поддержку нефтяному рынку оказывают надежды на оживление китайской экономики после того, как Народный банк Китая снизил ставку. Оказывают свое влияние данные Baker Hughes о сокращении активности нефтегазовых буровых установок в США.
Стоит отметить, что рынок проигнорировал очередное обострение конфликта на Ближнем Востоке. Геополитическая премия постепенно теряет свою силу, нефтетрейдеры привыкают жить в непрекращающихся военных действиях.
Невнятную динамику показал сегодня рубль, все еще торгующийся выше 13 за юань. Как отмечает стратег по валютному рынку и процентным ставкам «Альфа-Банк» Никита Еуров, дефицит юаней на рынке сохраняется, на неделе ставки овернайт находились выше 15%, доходили до 85-90% в среду. Такая ситуация обеспечивает привлекательность валютного хеджирования – декабрьский и мартовский фьючерсы на юань торгуются дешевле спота. «Эта неделя – предналоговая, поэтому ожидаем ослабления давления на рубль, но в перспективе 1-2 месяцев продолжаем смотреть на рубль пессимистично», - отметил эксперт.
На валютных торгах МосБиржи юань растет на 0,2% - до 13,14 рубля. Ближайший фьючерс на доллар (Si) укрепляется на 0,09% - до 92,58 рубля. На межбанке рубль отвоевывает позиции – доллар проседает на 0,15% (92,83 рубля), евро снижается на 0,56% (103,23 рубля). Курс ЦБ РФ на 24 сентября составляет 92,92 рубля за доллар и 103,22 рубля за евро.
Бумаги «Норникеля» (+0,75%) отыгрывали сообщения об инвестировании $30 млн в проект Батарейного технологического центра, который будет заниматься производством катодных материалов для аккумуляторов.
Акции «Аэрофлота» (+3,7%) росли в ожидании возврата к дивидендным выплатам.
Котировки «Яндекса» (+3,1%) закрыли дивидендный гэп. «Дневные потери оказались меньше назначенных выплат, сегодня котировки закрыли разрыв, что говорит о силе инструмента. Поддержку котировкам могут оказать ожидания сильных результатов в 3 квартале, а также включение акций в состав Индекса МосБиржи», - говорят аналитики «БКС Мир инвестиций».
Внушительный рост сегодня показали бумаги «ЛУКОЙЛа» (+0,9%), пощупав отметку 7000 рублей. Аналитики ПСБ видят причину силы в акциях в восстановлении переработки на поврежденных в начале года НПЗ и возобновлении с октября поставок нефти по «Дружбе» в Венгрию, что поддержит финансовые результаты компании.
Бумаги «ФосАгро» (+0,9%) и «Акрона» (+0,1%) росли на новостях об увеличении Евросоюзом импорта российских удобрений, крупнейшим покупателем стала Польша.
На позитивной стороне закрыли торги бумаги ТМК (+9,5%), QIWI (+7,8%), «Мечела» (ао+6,8%, ап+6,7%), «М.видео» (+6%), расписки FixPrice (+5,8%), акции «Распадской» (+5,5%), «Газпрома» (+5,3%), ЛСР (+4,9%). В минус ушли бумаги «ПИКа» (-2,3%), «Сургутнефтегаза» (ап-0,8%), «Магнита» (-0,7%), ММК (-0,6%), «Северстали» (-0,5%, «Роснефти» (-0,1%), «Башнефти» (ап-0,%).
Давление на бумаги «НОВАТЭКа» (-0,8%) оказали новости о заморозке планов строительства СПГ-проектов в Мурманске и Сабетте на фоне сохраняющихся санкций.
Акции ТГК-14 (-2,9%) негативно отреагировали на грядущее SPO, в результате которого доля акций в свободном обращении может вырасти до 29%."
2,2024-09-20 10:13:00,"Российский рынок открыл торги ростом в пятницу, 20 сентября. Индекс МосБиржи в первые минуты в плюсе на 0,17%, до 2763,65 пункта. РТС прибавляет те же 0,17%, до 939,21 пункта.
В лидерах роста находятся бумаги «Сегежи» (+3,45%), ДЭК (+1,38%), МТС (+0,73%) и расписки Cian (+1%). Котировки «Сбера» прибавляют 0,3%, а «Газпрома» - 0,43%.
В минусе акции «ФосАгро» (-2,08%) и «Яндекса» (-1,17%) в связи с дивидендным гэпом. Бумаги «Интер РАО» падают на 0,51%, а АФК «Система» - на 0,15%.
Рубль укрепляется к юаню на Московской бирже 0,62%, до отметки 12,88. Ближайший фьючерс на курс доллара (Si) в минусе на 0,11%, до 91,27 рубля за доллар. На межбанковском валютном рынке доллар находится на отметке 92,88, евро - 103,81.
Цены на нефть утром продолжают оставаться в минусе. Стоимость контракта Brent с поставкой в ноябре дешевеет на 0,09%, до $74,81 за баррель, октябрьский контракт на WTI - на 0,21%, до $71,8 за «бочку».
Станьте совладельцем успешных компаний. Инвестируйте в акции российских и мировых гигантов из разных секторов на Московской, NYSE, NASDAQ и Гонконгской биржах. Открыть брокерский счет дистанционно за 3 минуты.
К 10:10 мск индекс МосБиржи растет на 0,5%, до 2772,66 пункта, свидетельствуют данные торгов."
3,2024-09-20 09:44:00,"Сервис аренды пауэрбанков «Бери заряд», который планировал IPO, может быть продан «Яндексу», пишет «Коммерсант» со ссылкой на источники.
По словам источников издания, идут соответствующие переговоры. Им предшествовало предложение в адрес МТС, однако оператор начал развивать аналогичный бизнес самостоятельно. Экосистемные проекты имеют преимущество перед теми, которые развиваются в одиночку,— в частности, им легче договариваться о расширении сети станций, отмечают участники рынка, мнение которых приводится в материале.
В мае «Бери заряд» провел pre-IPO, в рамках которого привлек 750 млн рублей."
4,2024-09-20 09:00:00,"В пятницу, 20 сентября, акционеры банка «Авангард» в ходе внеочередного общего собрания примут решение по дивидендам за 1 полугодие 2024 года.  Ранее совет директоров рекомендовал их выплатить в размере 34,7 рубля на одну акцию.
Акционеры «ТНС энерго Воронеж» примут решение по дивидендам за 1 полугодие 2024 года. Ранее совет директоров компании рекомендовал их выплату в размере 7,88 рубля на каждый тип акций.
«ФосАгро» закроет дивидендный реестр. Ранее акционеры компании утвердили 117 рублей на акцию в виде дивидендов за 1 полугодие 2024 года.
МКПАО «Яндекс» также закроет дивидендный реестр. Ранее акционеры компании утвердили выплату первых в истории дивидендов за 1 полугодие 2024 года в размере 80 рублей на акцию.
Кроме того, Акции «Яндекса» и группы «Астра» войдут в базу расчета индексов МосБиржи и РТС. При этом будут исключены акции «Сегежи».
Также сегодня последний день для конвертации расписок ГМК «Норильский никель». Процедура конвертации осуществляется по инициативе BNY Mellon.
«Инвестиционная палата» закончит второй этап сбора заявок нерезидентов на обмен бумаг. В рамках второго этапа торгов подача оферт продавцов-резидентов не предполагается. Срок действия оферт покупателей-нерезидентов - до 12 октября 2024 года включительно. Единая стартовая ставка для всех лотов, предлагаемых к покупке нерезидентами, составит примерно 142,2 млн рублей."
5,2024-09-20 03:35:00,"Дивидендный реестр МКПАО «Яндекс» закрывается 20 сентября 2024 года.
Ранее акционеры компании по итогам ВОСА, которое прошло 9 сентября, утвердили выплату дивидендов за 1 полугодие 2024 года в размере 80 рублей на обыкновенную акцию. Совокупная сумма выплат составит 29,223 млрд рублей."
6,2024-09-20 03:17:00,"Акции МКПАО “Яндекс” и “Группы Астра” с 20 сентября войдут в базу расчета индексов МосБиржи и РТС, при этом будут исключены акции “Сегежи”, сообщает торговая площадка.
Акции МКПАО “ЯНДЕКС” также будут включены в базу расчета индекса голубых фишек, при этом акции “АЛРОСА” покинут индекс.
База расчета индекса средней и малой капитализации изменится за счет включения обыкновенных акций ПАО “ВИ.ру”. В базу расчета Индекса акций широкого рынка войдут обыкновенные акции МКПАО “ЯНДЕКС”, обыкновенные акции ПАО “ВИ.ру” и обыкновенные акции ПАО “ПРОМОМЕД”. Обыкновенные акции ПАО “КуйбышевАзот”, обыкновенные акции ПАО “Россети Северо-Запад” и обыкновенные акции ПАО “Таттелеком” будут исключены из индекса.
Отраслевой Индекс информационных технологий изменится за счет включения обыкновенных акций МКПАО “ЯНДЕКС”. Обыкновенные акции ПАО “ВИ.ру” и обыкновенные акции ПАО “ПРОМОМЕД” будут включены в отраслевой Индекс потребительского сектора. Обыкновенные акции ПАО “КуйбышевАзот” исключаются из отраслевого Индекса химии и нефтехимии.
Из базы расчета Индекса электроэнергетики будут исключены обыкновенные акции ПАО “Россети Северо-Запад”. База расчета Индекса телекоммуникаций изменится за счет исключения обыкновенных акций ПАО “Таттелеком”.
В лист ожидания на включение в базу расчета Индекса МосБиржи и Индекса РТС войдут обыкновенные акции ПАО “НК “РуссНефть”, обыкновенные акции ПАО “ЮГК”, обыкновенные акции ПАО “ЭсЭфАй”, обыкновенные акции МКПАО ЮМГ и обыкновенные акции ПАО Группа Ренессанс Страхование.
Обыкновенные акции ПАО “Магнит” и обыкновенные акции ПАО “РусГидро” войдут в лист ожидания на исключение из базы расчета Индекса МосБиржи и Индекса РТС."
7,2024-09-19 19:38:00,"В четверг, 19 сентября, российский фондовый рынок завершил сессию небольшим ростом индекса МосБиржи.
Российский рынок акций сегодня не остался в стороне от позитивного внешнего фона, который сложился на зарубежных биржах после щедрого жеста со стороны американского Федрезерва, накануне понизившего ставку сразу на полпроцента.
По итогам торгов индекс МосБиржи повысился на 0,26% до отметки 2758,91 пункта, а долларовый индекс РТС ослаб на 0,85% до уровня 937,60 пункта. Нефть марки Brent к 19:10 МСК прибавляет 2,93% до отметки $74,93 за баррель.
В составе индекса МосБиржи в наибольшем плюсе финишировали «Сегежа» (+4,7%), «Норникель» (+4,5%) и En+ (+2,5%). В наибольшем минусе оказались Solidcore (-1,9%), МКБ (-1,8%) и «Мосэнерго» (-1,7%).
Акции «Полюса» показали рост на 1,1% на фоне возобновления роста цен на золото.
Бумаги Яндекса подорожали на 2,6% - сегодня бумага последний день торговалась с дивидендами за первое полугодие. Акционеры компании получат по 80 руб. на бумагу.
С технической точки зрения, на дневном графике индекса МосБиржи ранее был пробит вверх нисходящий канал, и потенциал отскока индекса в краткосрочной перспективе может сохраняться.
Американский рынок замотивировался на рост
В четверг, 19 сентября, фондовый рынок Соединенных Штатов ближе к середине торговой сессии показывает уверенный рост индексов.
На американском рынке акций наблюдается повышенный аппетит к риску в свете вчерашних итогов заседания ФРС – игроков воодушевило решение регулятора уменьшить ключевую ставку сразу на 0,5%, что стало первым понижением ставки за 4 года. Часть инвестиционного сообщества была удивлена размером этого снижения, поскольку ожидала меньшего. Щедрость Федрезерва предрасполагает к покупательным настроениям на американском рынке, которые теперь могут развернуться с новой силой.
Что касается опубликованной сегодня статистики, количество первичных обращений за пособиями по безработице в США неделей ранее составило 219 тысяч, ниже ожиданий, предполагавших 234 тыс., и меньше предыдущего значения на уровне 231 тысячи. Продажи жилья на вторичном рынке в августе сократились на 2,5% до 3,86 млн при прогнозах роста на 0,9%.
Внешний фон для американской сессии складывается благоприятный – на азиатских и европейских площадках преобладал рост.
К 19:00 МСК индекс широкого рынка Standard & Poor’s 500 торгуется с повышением на 1,65% на отметке в 5710,89 пункта, индикатор голубых фишек Dow Jones Industrial Average прибавляет 1,01% до уровня в 41922,98 пункта, а индекс высокотехнологичных отраслей Nasdaq Composite торгуется в плюсе на 2,59% на отметке в 18027,97 пункта.
Долларовый индекс показывает снижение на 0,24%, фьючерсы на золото торгуются с повышением на 0,89%, на серебро – в плюсе на 2,58%.
В составе индекса голубых фишек в плюсе торгуется больше половины бумаг, в т.ч. свыше 2% прибавляют Salesforce, Caterpillar, Goldman Sachs, Intel и др. В наибольшем минусе торгуются IBM, Visa, Walmart и др.
Гиганты хай-тека показывают динамичный рост на фоне подъема аппетита к риску на биржевых площадках. Акции Nvidia дорожают на 5,4%, AMD – на 6,0%, Micron Technology – на 2,4%, Alphabet – на 2,1%.
Также решение ФРС о понижении ставки на полпроцента спровоцировало подъем застройщиков – акции Lennar прибавляют 1,3%, D.R. Horton – 1,0%.
Акции Apple, входящие в состав стратегии «US. Сбалансированная», дорожают на 3,6%.
* Сообщение носит информационный характер, не является индивидуальной инвестиционной рекомендацией или предложением приобрести упомянутые ценные бумаги. Приобретение иностранных ценных бумаг связано с дополнительными рисками."
8,2024-09-19 13:00:00,"Любой инвестор заинтересован в том, чтобы получить максимальную прибыль от своих вложений на фондовом рынке. Разумный инвестор всегда задумывается о том, как собрать защитный инвестиционный портфель, какие бумаги способны принести наибольшую доходность, а также как генерировать стабильную прибыль на протяжении длительного периода.
Московская биржа ежемесячно публикует «Народный портфель», который отражает предпочтения частных инвесторов на рынке акций. В структуру этого портфеля входит 10 наиболее популярных бумаг. В августе 2024 года самыми популярными акциями среди частных инвесторов, по данным Мосбиржи, были обыкновенные и привилегированные акции «Сбербанка» (32% и 7% соответственно), акции «ЛУКОЙЛа» (15%), «Газпрома» (14%), «Роснефти» (6%), «Яндекса» (6%), привилегированные акции «Сургутнефтегаза» (6%), акции «Норникеля» (5%), акции «Т-Банка» (4%) и акции «НОВАТЭКа» (4%).

Но задумывались ли вы когда-нибудь о том, какие фавориты будут на рынке лет так через 30? Finam.ru решил собрать мнения экспертов на этот счет.
Управляющий директор инвесткомпании «Риком-Траст» Дмитрий Целищев отмечает, что, предсказывая российских эмитентов - лидеров будущего, важно понимать, а также принимать во внимание основные драйверы развития и отрасли с наибольшим потенциалом. Эксперт выделил три отрасли, а также своих фаворитов в каждой из них. В первую очередь, это маркетплейсы, которые в обозримой перспективе способны полностью заместить собой как магазины классической офлайн-торговли, так и банки с традиционным предложением накоплений, кредитов и транзакций. На нашем рынке это: «Озон» и «Яндекс». Во-вторых, ИТ и Финтех. Слабо можно представить себе будущее без высоких технологий и искусственного интеллекта, внедрение которых происходит уже повсеместно, и влияние которых будет только нарастать, полагает Целищев, добавляя, что российский рынок будет представлен такими компаниями как «Астра» и Positive. И, наконец, биотех. «Человек объективно хочет жить дольше и здоровее, иметь возможности справляться с любыми вирусами и пандемиями, поэтому лидерами будущего вполне могут быть «Артген» и Genetico», - полагает эксперт.
Между тем Альберт Короев, начальник отдела экспертов по фондовому рынку «БКС Мир инвестиций» выделил пять компаний – «Яндекс», «Аэрофлот», «Сбер», ВК и «Роснефть». По его словам, «Яндекс» практически монополист в поиске, сервисе заказа такси, а также имеет сильные позиции в других высокотехнологичных областях, тогда как «Сбер» является признанным лидером финансового сектора с сильным брендом известным каждому, активно развиваясь и в технологиях. Что касается ВК, то, как заявляет Короев, это крупнейшая российская соцсеть, а тренд на деглобализацию усиливает ее позиции. «Роснефть», в свою очередь, является крупнейшей нефтедобывающей компанией РФ, а «Аэрофлот» крупнейшим авиаперевозчиком в стране, поэтому позиции этих компаний, по мнению эксперта, вряд ли сильно пошатнутся.
Своими прогнозами с Finam.ru поделились и аналитики ФГ «Финам». Эксперты заявляют, что в финансовом секторе хорошие шансы сохранить лидерство имеет «Сбер». «Причем это, конечно, уже будет не традиционный банк, а многопрофильный финтех-конгломерат. Его деятельность будет охватывать все сферы финансовой жизни физических и юридических лиц, а также развитие самых современных цифровых финансовых, социальных и других технологий», - подчеркивают аналитики.
Кроме того, эксперты «Финама» считают, что состав отраслевых лидеров в энергетике через 30 лет в силу специфики сектора, вероятно, изменится незначительно. По их словам, крупнейшими компаниями по объему установленных мощностей останутся «РусГидро», «Интер РАО», «Газпром энергохолдинг» и «Росатом», каждая из которых специализируется на определенном виде генерации. На электросетевом рынке ведущую роль продолжат играть «ФСК-Россети» и ее дочерние компании, которые в ближайшие годы, вероятно, консолидируют все сетевые активы в РФ.
Если же говорить о рынке информационных технологий, то, как заявляют аналитики ФГ «Финам», он тяготеет к концентрации, там действует принцип «победитель забирает все», поэтому с высокой степенью вероятности и через 30 лет на нем будут доминировать те же «Яндекс» и «ВК». Телекоммуникационные компании живут столетиями, так что «Ростелеком» и МТС продолжат лидировать и через тридцать лет. То же касается и вездесущих «трех поросят», домики которых мы наблюдаем на каждом углу, – «Озона», Wildberries и «Яндекс.Маркета» - в силу эффекта масштаба.
Более того, эксперты «Финама» отмечают, что через 30 лет есть вероятность серьезных демографических сдвигов в сторону старения населения России, поэтому в число крупнейших предприятий с большой вероятностью войдут и биофармацевтические компании, как это уже имеет место за океаном.
Аналитик Freedom Finance Global Владимир Чернов полагает, что в течение ближайших 30 лет будет ускоряться глобальный переход на «зеленую» энергетику, в связи с чем будет расти мировой спрос на восстанавливаемые источники энергии и как следствие на сырье и комплектующие для их производства. На этом фоне в лидерах на Московской бирже может оказаться «Норильский Никель». Компания является российским лидером по добыче редкоземельных металлов и элементов, которые активно используются при производстве ВИЭ, элементов питания и электромобилей. При этом, по мнению Чернова, на этом фоне компания «Южно-уральский никель» тоже имеет все шансы на рост.
Как заявляет эксперт, глобальный переход на зеленую энергетику займет не один десяток лет, поэтому в ближайшие годы углеводороды будут пользоваться высоким спросом. В данной отрасли наметился тренд на увеличение объемов производства СПГ, так как логистика его экспорта не требует строительства дополнительной инфраструктуры в отличие от трубопроводного природного газа. На этом фоне, по словам аналитика, в лидерах роста на российской фондовой бирже могут оказаться: 1) «НОВАТЭК» со своим заводом «Ямал СПГ» и тремя линиями производства СПГ на проекте «Арктик СПГ-2» (пока к работе приступила только первая линия, в ближайшие пару лет достроят остальные). 2) «Роснефть» со своим заводом по производству СПГ – «Восток Ойл». 3) «Газпром» уже производит СПГ на заводе «Сахалин-2», и вероятно в ближайшие годы компания будет вынуждена значительно увеличивать его производство и экспорт в азиатские страны из-за отсутствия газопроводной инфраструктуры и сложностей в переговорах по строительству трубопровода «Сила Сибири – 2».
Также эксперт Freedom Finance Global отмечает, что все возможности и перспективы работы сервисов на основе искусственного интеллекта еще далеко не изучены, однако уже сейчас эта отрасль демонстрирует высокие темпы глобального роста, в связи с чем в ближайшие 30 лет можно прогнозировать повышенный спрос на облачные сервисы, дата-центры, а также на высокочастотные микросхемы. «Компания МТС планирует вложить в развитие облачных сервисов для работы бизнеса с ИИ до 1 млрд рублей до конца 2025 года. Помимо МТС, в лидеры может выйти целый ряд высокотехнологичных компаний, которые будут конкурировать в данной отрасли, возможно кто-то из отечественных разработчиков за 30 лет даже начнет производить мощные микрочипы, тогда он наверняка также выйдет в лидеры роста. Пока среди лидеров IT-отрасли в РФ я бы выделил «Яндекс»», - комментирует эксперт.
Помимо этого, в России действует долгосрочная программа развития Северного морского пути до 2035 года, а бенефициаром, по оценкам Чернова, станет компания «Совкомфлот». После расширения восточного полигона увеличится ж/д сообщение с Китаем, но РЖД не имеет листинга на Московской бирже, поэтому одним из основных бенефициаров, как отмечает эксперт, станет компания Globaltrans.
Среди других потенциальных фаворитов рынка он выделил «Росатом», «Роснано» и «Ростех». По его словам, российское правительство поддерживает выход государственных компаний на IPO, поэтому в случае первичного размещения на Московской бирже ценных бумаг этих компаний, они также могут оказаться в лидерах роста.
Чернов также подчеркивает, что темпы роста объемов торговли на рынке электронной коммерции через 30 лет вероятно замедлятся, но обороты и вовлеченность в жизнь граждан к тому времени будут на крайне высоком уровне, поэтому акции компании роста Ozon станут акциями компании «стоимости», оставаясь за счет высоких оборотов на плаву наравне с ценными бумагами X5 Retail Group. Более того, «Сбербанк» также останется на лидирующих позициях в банковском секторе, так как сместить его оттуда будет крайне сложно из-за слишком высокой доли рынка.
Своим мнением относительно фаворитов российского фондового рынка в будущем поделился также Сергей Алдонин, директор по работе с клиентами General Invest. Эксперт заявляет, что если сегодня взглянуть на индекс S&P 500, то в топ-10 дорогих компаний индекса входят четыре компании, которые тридцать лет назад имели листинг на одной из бирж, а три компании из десяти были основаны менее чем тридцать лет назад. Самой молодой компанией из высшей десятки является Tesla, которая была основана в 2003 году и стала публичной в 2010-м. Прошло 14 лет и компания уже стоит более $700 млрд. Восемь компаний из топ-10 развиваются в технологическом секторе, компания Уоррена Баффетта Berkshire Hathaway в большей части занимается инвестициями, а ELi Lilly является крупнейшей фармацевтической компанией. Это показывает, что наиболее перспективными для инвестиций являются компании, которые занимаются развитием новых технологий и способных активно инвестировать в свое развитие.
Алдонин заявляет, что по аналогии с американским перспективными на российском рынке выглядят отечественные технологические компании:
1. «Яндекс», развивающий не только поисковый сервис, но и технологии искусственного интеллекта, технологии беспилотного управления, имеющий образовательную платформу, а также активно увеличивающий свою долю в электронной коммерции.
2. Positive Technologies - единственная на сегодняшний день публичная компания в России, занимающаяся кибербезопасностью. Глобальная цифровизация и распространение онлайн-сервисов заставляет компании больше инвестировать в кибербезопасность, от которой выигрывает компания.
Кроме технологических компаний, по мнению эксперта, перспективными выглядят компании, занимающиеся электронной коммерцией, где одним из лидеров является Ozon. В последнее время рынок электронной коммерции бурно развивается, и компания усиливает на нем свои позиции, при этом развивает дополнительные сервисы для покупателей и для продавцов.
Кроме того, Алдонин считает, что на горизонте 30 лет перспективными могут быть компании из сектора электрического транспорта, тем более уже есть пример, когда Tesla стала одной из самых дорогих компаний мира. Тут лидером может стать «КАМАЗ», который уже создал первый электрический грузовик в России на собственной платформе. Помимо этого, компания разрабатывает свои электрокары, автомобили на водородном двигателе и беспилотные автомобили.
«Не будет сюрпризом, если лидером станет также компания, работающая в шеринговой экономике. Уже сейчас зарождается тренд, когда люди отказываются от покупок дорогостоящих вещей и берут их в краткосрочную аренду. Ярким примером является каршеринг. Тут все шансы стать лидером имеет «Каршеринг Руссия», более известная как «Делимобиль». При этом развитие беспилотных автомобилей позволит в будущем арендовать автомобиль вместо такси», - говорит эксперт.
Ну и, конечно же, текущий лидер российского рынка – «Сбер». «Компания из банка трансформировалась в технологическую компанию, развивающую технологии будущего: финтех, искусственный интеллект, большие данные и другие перспективные технологии. Кроме этого, «Сбер» активно развивает электронную коммерцию и имеет свою экосистему, а развивать технологии будущего ему позволяет не только крупнейшая база клиентов, свой университет, но и эффективный бизнес. Компания может повторить рекорд по чистой прибыли 2023 года, а это значит, что деньги на развитие у компании есть», - прогнозирует Алдонин."
